Game,Day,Date,StartTime,xEndTime,Home,Opp,TeamScore,OppScore,PointDiff,DefTO,OffTO,TODiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Giants,Cowboys,RegularSeason,Division,ConfChamp,SuperBowl
9,Sunday,2016-11-06,13:00:00,16:12:00,1,New York Giants,23,28,-5,2,2,0,0,0,2016,4,4,-2,1,1,0,1,0,0,0
10,Sunday,2016-11-13,13:00:00,16:12:00,0,Atlanta Falcons,24,15,9,1,1,0,1,0,2016,5,4,1,0,0,0,1,0,0,0
11,Sunday,2016-11-20,16:25:00,19:37:00,1,Seattle Seahawks,15,26,-11,0,2,-2,0,0,2016,5,5,-1,0,0,0,1,0,0,0
12,Monday,2016-11-28,20:30:00,23:42:00,0,Green Bay Packers,13,27,-14,0,1,-1,0,0,2016,5,6,-2,0,0,0,1,0,0,0
13,Sunday,2016-12-04,13:00:00,16:12:00,1,Cincinnati Bengals,14,32,-18,2,3,-1,0,0,2016,5,7,-3,0,0,0,1,0,0,0
14,Sunday,2016-12-11,13:00:00,16:12:00,0,Washington Redskins,22,27,-5,1,2,-1,0,0,2016,5,8,-4,0,0,0,1,0,0,0
15,Sunday,2016-12-18,13:00:00,16:12:00,1,Baltimore Ravens,26,27,-1,2,1,1,0,0,2016,5,9,-5,0,0,0,1,0,0,0
16,Thursday,2016-12-22,20:25:00,23:37:00,0,New York Giants,24,19,5,3,1,2,1,0,2016,6,9,1,1,1,0,1,0,0,0
17,Sunday,2017-01-01,13:00:00,16:12:00,0,Dallas Cowboys,27,13,14,2,0,2,1,0,2016,7,9,2,1,0,1,1,0,0,0
1,Sunday,2017-09-10,13:00:00,16:12:00,1,Washington Redskins,30,17,13,4,2,2,1,0,2017,1,0,-1,0,0,0,1,0,0,0
2,Sunday,2017-09-17,13:00:00,16:12:00,1,Kansas City Chiefs,20,27,-7,0,2,-2,0,0,2017,1,1,-1,0,0,0,1,0,0,0
3,Sunday,2017-09-24,13:00:00,16:12:00,0,New York Giants,27,24,3,2,1,1,1,0,2017,2,1,1,1,1,0,1,0,0,0
4,Sunday,2017-10-01,16:05:00,19:17:00,1,Los Angeles Chargers,26,24,2,1,0,1,1,0,2017,3,1,2,0,0,0,1,0,0,0
5,Sunday,2017-10-08,13:00:00,16:12:00,0,Arizona Cardinals,34,7,27,1,1,0,1,0,2017,4,1,3,0,0,0,1,0,0,0
6,Thursday,2017-10-12,20:25:00,23:37:00,1,Carolina Panthers,28,23,5,3,1,2,1,0,2017,5,1,4,0,0,0,1,0,0,0
7,Monday,2017-10-23,20:30:00,23:42:00,0,Washington Redskins,34,24,10,1,1,0,1,0,2017,6,1,5,0,0,0,1,0,0,0
8,Sunday,2017-10-29,13:00:00,16:12:00,0,San Francisco 49ers,33,10,23,2,1,1,1,0,2017,7,1,6,0,0,0,1,0,0,0
9,Sunday,2017-11-05,13:00:00,16:12:00,0,Denver Broncos,51,23,28,2,1,1,1,0,2017,8,1,7,0,0,0,1,0,0,0
11,Sunday,2017-11-19,20:30:00,23:42:00,1,Dallas Cowboys,37,9,28,4,0,4,1,0,2017,9,1,8,1,0,1,1,0,0,0
12,Sunday,2017-11-26,13:00:00,16:12:00,0,Chicago Bears,31,3,28,2,3,-1,1,0,2017,10,1,9,0,0,0,1,0,0,0
13,Sunday,2017-12-03,20:30:00,23:42:00,1,Seattle Seahawks,10,24,-14,0,2,-2,0,0,2017,10,2,-1,0,0,0,1,0,0,0
14,Sunday,2017-12-10,16:25:00,19:37:00,1,Los Angeles Rams,43,35,8,2,1,1,1,0,2017,11,2,1,0,0,0,1,0,0,0
15,Sunday,2017-12-17,13:00:00,16:12:00,1,New York Giants,34,29,5,1,0,1,1,0,2017,12,2,2,1,1,0,1,0,0,0
16,Monday,2017-12-25,20:30:00,23:42:00,0,Oakland Raiders,19,10,9,5,2,3,1,0,2017,13,2,3,0,0,0,1,0,0,0
17,Sunday,2017-12-31,13:00:00,16:12:00,0,Dallas Cowboys,0,6,-6,1,2,-1,0,0,2017,13,3,-1,1,0,1,1,0,0,0
Division,Saturday,2018-01-13,16:35:00,19:47:00,0,Atlanta Falcons,15,10,5,0,2,-2,1,0,2017,14,3,1,0,0,0,0,1,0,0
Conf. Champ.,Sunday,2018-01-21,18:40:00,21:52:00,0,Minnesota Vikings,38,7,31,3,0,3,1,0,2017,15,3,2,0,0,0,0,0,1,0
SuperBowl,Sunday,2018-02-04,18:30:00,21:42:00,0,New England Patriots,41,33,8,1,1,0,1,0,2017,16,3,3,0,0,0,0,0,0,1
