Game,Day,Date,StartTime,LOG,EndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Celtics,Knicks
76,Friday,2014-04-04,19:30:00,142,21:52:00,1,18624,Boston Celtics,111,102,9,1,0,2013,17,59,1,1,1,0
77,Saturday,2014-04-05,19:30:00,138,21:48:00,0,16133,Brooklyn Nets,101,105,-4,0,0,2013,17,60,-1,0,0,0
78,Wednesday,2014-04-09,19:00:00,139,21:19:00,1,18789,Toronto Raptors,114,125,-11,0,0,2013,17,61,-2,0,0,0
79,Friday,2014-04-11,20:00:00,128,22:08:00,1,17456,Memphis Grizzlies,95,117,-22,0,0,2013,17,62,-3,0,0,0
80,Saturday,2014-04-12,19:00:00,142,21:22:00,1,17140,Charlotte Bobcats,105,111,-6,0,0,2013,17,63,-4,0,0,0
81,Monday,2014-04-14,19:00:00,147,21:27:00,0,17822,Boston Celtics,113,108,5,1,0,2013,18,63,1,1,1,0
82,Wednesday,2014-04-16,20:00:00,137,22:17:00,1,20350,Miami Heat,100,87,13,1,0,2013,19,63,2,0,0,0
1,Wednesday,2014-10-29,19:00:00,144,21:24:00,1,18165,Indiana Pacers,91,103,-12,0,0,2014,0,1,-1,0,0,0
2,Friday,2014-10-31,20:30:00,134,22:44:00,1,18717,Milwaukee Bucks,81,93,-12,0,0,2014,0,2,-1,0,0,0
3,Saturday,2014-11-01,19:00:00,143,21:23:00,0,19753,Miami Heat,96,114,-18,0,0,2014,0,3,-2,0,0,0
4,Monday,2014-11-03,19:00:00,133,21:13:00,0,12896,Houston Rockets,93,104,-11,0,0,2014,0,4,-3,0,0,0
5,Wednesday,2014-11-05,19:00:00,157,21:37:00,0,12111,Orlando Magic,89,91,-2,0,0,2014,0,5,-4,0,0,0
6,Friday,2014-11-07,19:00:00,144,21:24:00,0,16820,Chicago Bulls,115,118,-3,0,0,2014,0,6,-5,0,0,0
7,Sunday,2014-11-09,19:00:00,130,21:10:00,1,18470,Toronto Raptors,88,120,-32,0,0,2014,0,7,-6,0,0,0
8,Thursday,2014-11-13,20:30:00,141,22:51:00,1,19604,Dallas Mavericks,70,123,-53,0,0,2014,0,8,-7,0,0,0
9,Friday,2014-11-14,20:00:00,145,22:25:00,1,18138,Houston Rockets,87,88,-1,0,0,2014,0,9,-8,0,0,0
10,Monday,2014-11-17,20:30:00,126,22:36:00,1,18581,San Antonio Spurs,75,100,-25,0,0,2014,0,10,-9,0,0,0
11,Wednesday,2014-11-19,19:00:00,124,21:04:00,0,12701,Boston Celtics,90,101,-11,0,0,2014,0,11,-10,1,1,0
12,Friday,2014-11-21,19:00:00,128,21:08:00,0,16789,Phoenix Suns,96,122,-26,0,0,2014,0,12,-11,0,0,0
13,Saturday,2014-11-22,19:30:00,139,21:49:00,1,19812,New York Knicks,83,91,-8,0,0,2014,0,13,-12,1,0,1
14,Monday,2014-11-24,19:00:00,126,21:06:00,0,11094,Portland Trail Blazers,104,114,-10,0,0,2014,0,14,-13,0,0,0
15,Wednesday,2014-11-26,19:00:00,133,21:13:00,0,11223,Brooklyn Nets,91,99,-8,0,0,2014,0,15,-14,0,0,0
16,Saturday,2014-11-29,19:00:00,142,21:22:00,0,16145,Dallas Mavericks,103,110,-7,0,0,2014,0,16,-15,0,0,0
17,Monday,2014-12-01,19:00:00,135,21:15:00,0,12843,San Antonio Spurs,103,109,-6,0,0,2014,0,17,-16,0,0,0
18,Wednesday,2014-12-03,20:00:00,128,22:08:00,1,10463,Minnesota Timberwolves,85,77,8,1,0,2014,1,17,1,0,0,0
