"Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","cLI","Streak","Orig..Scheduled","Year"
5,"Saturday Apr 11","boxscore","PHI","","WSN","W-wo",3,2,10,"3-2",2,"2","McGowan","Roark","","3:25","N",23740,1.02,"++","",2015
6,"Sunday Apr 12","boxscore","PHI","","WSN","L",3,4,10,"3-3",2,"2","Barrett","Diekman","Storen","3:19","D",30094,1.05,"-","",2015
7,"Monday Apr 13","boxscore","PHI","@","NYM","L",0,2,NA,"3-4",3,"3","deGrom","Harang","Familia","2:53","D",43947,1.1,"--","",2015
8,"Tuesday Apr 14","boxscore","PHI","@","NYM","L",5,6,NA,"3-5",3,"3","Harvey","Buchanan","Familia","3:12","N",39489,1.06,"---","",2015
9,"Wednesday Apr 15","boxscore","PHI","@","NYM","L",1,6,NA,"3-6",3,"3","Niese","Williams","","2:36","N",21052,1,"----","",2015
10,"Thursday Apr 16","boxscore","PHI","@","WSN","L",2,5,NA,"3-7",4,"4","Fister","Hamels","Storen","2:16","N",24768,0.89,"-----","",2015
11,"Friday Apr 17","boxscore","PHI","@","WSN","L",2,7,NA,"3-8",4,"5","Scherzer","O'Sullivan","","2:38","N",31608,0.84,"------","",2015
12,"Saturday Apr 18","boxscore","PHI","@","WSN","W",5,3,NA,"4-8",4,"5","Harang","Zimmermann","Papelbon","2:56","D",35330,0.77,"+","",2015
13,"Sunday Apr 19","boxscore","PHI","@","WSN","L",1,4,NA,"4-9",4,"6","Strasburg","Buchanan","Storen","2:40","D",36631,0.85,"-","",2015
14,"Tuesday Apr 21","boxscore","PHI","","MIA","W",7,3,NA,"5-9",4,"6","Williams","Haren","","2:29","N",21993,0.74,"+","",2015
15,"Wednesday Apr 22","boxscore","PHI","","MIA","L",1,6,NA,"5-10",4,"7","Cosart","García","","2:55","N",23417,0.78,"-","",2015
16,"Thursday Apr 23","boxscore","PHI","","MIA","L",1,9,NA,"5-11",4,"8","Phelps","McGowan","","2:52","D",17097,0.66,"--","",2015
17,"Friday Apr 24","boxscore","PHI","","ATL","W-wo",1,0,NA,"6-11",4,"7","Giles","Johnson","","2:34","N",21164,0.73,"+","",2015
18,"Saturday Apr 25","boxscore","PHI","","ATL","L",2,5,NA,"6-12",5,"8","Miller","Buchanan","Grilli","2:27","N",24748,0.75,"-","",2015
19,"Sunday Apr 26","boxscore","PHI","","ATL","W",5,4,NA,"7-12",4,"7","Williams","Cahill","Papelbon","2:38","D",28702,0.67,"+","",2015
20,"Monday Apr 27","boxscore","PHI","@","STL","W",4,1,NA,"8-12",3,"7","Hamels","Lackey","Papelbon","2:32","N",40052,0.7,"++","",2015
21,"Tuesday Apr 28","boxscore","PHI","@","STL","L",5,11,NA,"8-13",4,"7","Wacha","González","","2:58","N",40143,0.72,"-","",2015
22,"Wednesday Apr 29","boxscore","PHI","@","STL","L",2,5,NA,"8-14",5,"7","Martínez","Harang","Rosenthal","2:38","N",40399,0.67,"--","",2015
23,"Thursday Apr 30","boxscore","PHI","@","STL","L",3,9,NA,"8-15",5,"7","Villanueva","Buchanan","","2:55","D",40715,0.65,"---","",2015
24,"Friday May 1","boxscore","PHI","@","MIA","L-wo",3,4,NA,"8-16",5,"8","Cishek","Giles","","2:57","N",18511,0.65,"----","",2015
25,"Saturday May 2","boxscore","PHI","@","MIA","L",0,7,NA,"8-17",5,"8","Haren","Hamels","","2:38","D",33348,0.63,"-----","",2015
26,"Sunday May 3","boxscore","PHI","@","MIA","W",6,2,NA,"9-17",5,"7","González","Cosart","","2:45","D",20461,0.57,"+","",2015
27,"Monday May 4","boxscore","PHI","@","ATL","W",5,2,NA,"10-17",5,"6.5","Harang","Wood","","3:08","N",17293,0.64,"++","",2015
28,"Tuesday May 5","boxscore","PHI","@","ATL","L",0,9,NA,"10-18",5,"7.5","Miller","Billingsley","","2:23","N",14451,0.72,"-","",2015
29,"Wednesday May 6","boxscore","PHI","@","ATL","L",5,7,NA,"10-19",5,"8.5","Foltynewicz","Williams","Grilli","3:07","N",17772,0.62,"--","",2015
30,"Friday May 8","boxscore","PHI","","NYM","W",3,1,NA,"11-19",5,"7.5","Hamels","Harvey","Papelbon","2:27","N",32734,0.59,"+","",2015
31,"Saturday May 9","boxscore","PHI","","NYM","L",2,3,NA,"11-20",5,"8.5","Niese","Harang","Familia","2:44","N",29373,0.65,"-","",2015
32,"Sunday May 10","boxscore","PHI","","NYM","L",4,7,NA,"11-21",5,"9.5","Colón","Billingsley","Familia","2:57","D",27935,0.54,"--","",2015
33,"Monday May 11","boxscore","PHI","","PIT","L",3,4,NA,"11-22",5,"9.5","Cole","Williams","Melancon","2:55","N",21358,0.42,"---","",2015
34,"Tuesday May 12","boxscore","PHI","","PIT","L",2,7,NA,"11-23",5,"9.5","Burnett","O'Sullivan","","2:49","N",20393,0.37,"----","",2015
35,"Wednesday May 13","boxscore","PHI","","PIT","W",3,2,NA,"12-23",5,"8.5","Hamels","Liriano","Papelbon","2:37","N",29576,0.34,"+","",2015
36,"Thursday May 14","boxscore","PHI","","PIT","W",4,2,NA,"13-23",5,"7.5","Harang","Worley","Papelbon","2:40","D",29205,0.38,"++","",2015
37,"Friday May 15","boxscore","PHI","","ARI","W",4,3,NA,"14-23",5,"6.5","Araújo","Pérez","García","3:05","N",21383,0.44,"+++","",2015
38,"Saturday May 16","boxscore","PHI","","ARI","W",7,5,NA,"15-23",5,"6.5","Williams","Bradley","Papelbon","3:14","N",33649,0.48,"++++","",2015
39,"Sunday May 17","boxscore","PHI","","ARI","W",6,0,NA,"16-23",5,"6.5","O'Sullivan","Collmenter","","2:52","D",22123,0.53,"+++++","",2015
40,"Monday May 18","boxscore","PHI","@","COL","W",4,3,NA,"17-23",4,"6.5","Hamels","Lyles","Papelbon","3:14","N",24061,0.54,"++++++","",2015
41,"Tuesday May 19","boxscore","PHI","@","COL","L",5,6,NA,"17-24",4,"6.5","Oberg","De Fratus","Axford","2:54","N",21249,0.63,"-","",2015
42,"Wednesday May 20","boxscore","PHI","@","COL","W",4,2,NA,"18-24",4,"6.5","González","Butler","Papelbon","2:50","N",21714,0.6,"+","",2015
43,"Thursday May 21","boxscore","PHI","@","COL","L",3,7,NA,"18-25",4,"7","Bergman","Williams","","3:15","D",25418,0.61,"-","",2015
44,"Friday May 22","boxscore","PHI","@","WSN","L",1,2,NA,"18-26",4,"8","Scherzer","O'Sullivan","Storen","2:35","N",35893,0.66,"--","",2015
45,"Saturday May 23","boxscore","PHI","@","WSN","W",8,1,NA,"19-26",4,"7","Hamels","Strasburg","","2:33","D",41722,0.61,"+","",2015
46,"Sunday May 24","boxscore","PHI","@","WSN","L",1,4,NA,"19-27",4,"8","Gonzalez","Harang","Storen","2:45","D",41044,0.68,"-","",2015
47,"Monday May 25","boxscore","PHI","@","NYM","L",3,6,NA,"19-28",4,"9","Colón","Araújo","Familia","3:07","D",30946,0.62,"--","",2015
48,"Tuesday May 26","boxscore","PHI","@","NYM","L-wo",4,5,10,"19-29",4,"9","Familia","Gómez","","3:17","N",21064,0.5,"---","",2015
49,"Wednesday May 27","boxscore","PHI","@","NYM","L",0,7,NA,"19-30",4,"10","Syndergaard","O'Sullivan","","2:41","D",24406,0.48,"----","",2015
50,"Friday May 29","boxscore","PHI","","COL","L",1,4,NA,"19-31",5,"10","Bettis","Hamels","","2:32","N",22227,0.31,"-----","",2015
51,"Saturday May 30","boxscore","PHI","","COL","L",2,5,NA,"19-32",5,"10","Butler","Harang","Axford","3:23","D",23510,0.27,"------","",2015
52,"Sunday May 31","boxscore","PHI","","COL","L",1,4,NA,"19-33",5,"10","Rusin","Williams","Oberg","2:56","D",22166,0.24,"-------","",2015
53,"Tuesday Jun 2","boxscore","PHI","","CIN","W-wo",5,4,NA,"20-33",5,"9.5","Papelbon","Cingrani","","2:52","N",20209,0.21,"+","",2015
54,"Wednesday Jun 3","boxscore","PHI","","CIN","W-wo",5,4,11,"21-33",5,"8.5","García","Mattheus","","3:31","N",21253,0.23,"++","",2015
55,"Thursday Jun 4","boxscore","PHI","","CIN","L",4,6,NA,"21-34",5,"9","DeSclafani","Harang","Chapman","2:41","N",21057,0.29,"-","",2015
56,"Friday Jun 5","boxscore","PHI","","SFG","L",4,5,NA,"21-35",5,"9.5","Lincecum","García","Casilla","2:58","N",20638,0.26,"--","",2015
57,"Saturday Jun 6","boxscore","PHI","","SFG","L",5,7,NA,"21-36",5,"9.5","Bumgarner","González","Casilla","2:53","D",29102,0.22,"---","",2015
58,"Sunday Jun 7","boxscore","PHI","","SFG","W",6,4,NA,"22-36",5,"9","Giles","Vogelsong","Papelbon","3:07","D",24799,0.19,"+","",2015
59,"Monday Jun 8","boxscore","PHI","@","CIN","L",4,6,NA,"22-37",5,"9.5","Leake","Hamels","Chapman","2:55","N",30900,0.22,"-","",2015
60,"Tuesday Jun 9","boxscore","PHI","@","CIN","L",2,11,NA,"22-38",5,"9.5","DeSclafani","Harang","","2:50","N",27993,0.2,"--","",2015
61,"Wednesday Jun 10","boxscore","PHI","@","CIN","L",2,5,NA,"22-39",5,"10","Moscot","Williams","Chapman","2:48","D",32994,0.18,"---","",2015
62,"Friday Jun 12","boxscore","PHI","@","PIT","L-wo",0,1,13,"22-40",5,"11","Bastardo","McGowan","","4:34","N",33749,0.14,"----","",2015
63,"Saturday Jun 13","boxscore","PHI","@","PIT","L",3,4,NA,"22-41",5,"11","Cole","O'Sullivan","Melancon","3:05","D",37516,0.13,"-----","",2015
64,"Sunday Jun 14","boxscore","PHI","@","PIT","L-wo",0,1,11,"22-42",5,"12","Bastardo","Papelbon","","3:04","D",34518,0.11,"------","",2015
65,"Monday Jun 15","boxscore","PHI","@","BAL","L",0,4,NA,"22-43",5,"13","Chen","Harang","","2:09","N",23730,0.09,"-------","",2015
66,"Tuesday Jun 16","boxscore","PHI","@","BAL","L",3,19,NA,"22-44",5,"14","Tillman","Williams","","3:11","N",26964,0.06,"--------","",2015
67,"Wednesday Jun 17","boxscore","PHI","","BAL","L",4,6,NA,"22-45",5,"14","Jiménez","Correia","Britton","2:34","N",26162,0.04,"---------","",2015
68,"Thursday Jun 18","boxscore","PHI","","BAL","W",2,1,NA,"23-45",5,"13","Diekman","Norris","Papelbon","2:32","D",26220,0.04,"+","",2015
69,"Friday Jun 19","boxscore","PHI","","STL","L",4,12,NA,"23-46",5,"13","Lyons","Aumont","","3:34","N",21169,0.05,"-","",2015
70,"Saturday Jun 20","boxscore","PHI","","STL","L",1,10,NA,"23-47",5,"13.5","Lackey","Harang","","3:02","N",24256,0.04,"--","",2015
71,"Sunday Jun 21","boxscore","PHI","","STL","W",9,2,NA,"24-47",5,"13.5","Morgan","Wacha","","2:29","D",30423,0.03,"+","",2015
72,"Monday Jun 22","boxscore","PHI","@","NYY","W",11,8,NA,"25-47",5,"13","Diekman","Pineda","","3:33","N",36883,0.03,"++","",2015
73,"Tuesday Jun 23","boxscore","PHI","@","NYY","W",11,6,NA,"26-47",5,"13","Giles","Betances","","3:45","N",36198,0.05,"+++","",2015
74,"Wednesday Jun 24","boxscore","PHI","@","NYY","L",2,10,NA,"26-48",5,"14","Nova","Hamels","","3:10","D",45877,0.06,"-","",2015
75,"Friday Jun 26","boxscore","PHI","","WSN","L",2,5,NA,"26-49",5,"15.5","Scherzer","Harang","Storen","2:38","N",22292,0.06,"--","",2015
76,"Sunday Jun 28 (1)","boxscore","PHI","","WSN","L",2,3,NA,"26-50",5,"15.5","Strasburg","Correia","Storen","3:07","D",NA,0.04,"---","2015-06-27 (Rain)",2015
77,"Sunday Jun 28 (2)","boxscore","PHI","","WSN","W",8,5,NA,"27-50",5,"15.5","González","Roark","Papelbon","3:15","D",27126,0.03,"+","",2015
78,"Monday Jun 29","boxscore","PHI","","MIL","L",4,7,NA,"27-51",5,"16","Nelson","O'Sullivan","Rodríguez","3:22","N",18423,0.02,"-","",2015
79,"Tuesday Jun 30","boxscore","PHI","","MIL","L",3,4,NA,"27-52",5,"17","Cotts","Giles","Rodríguez","3:26","N",20564,0.01,"--","",2015
80,"Wednesday Jul 1","boxscore","PHI","","MIL","L",5,9,NA,"27-53",5,"17","Lohse","Harang","","2:58","N",27069,0.02,"---","",2015
81,"Thursday Jul 2","boxscore","PHI","","MIL","L",7,8,11,"27-54",5,"17","Blazek","García","Rodríguez","3:57","N",30485,0.01,"----","",2015
82,"Friday Jul 3","boxscore","PHI","@","ATL","L",1,2,NA,"27-55",5,"18","Teheran","Morgan","Johnson","2:43","N",33090,0.01,"-----","",2015
83,"Saturday Jul 4","boxscore","PHI","@","ATL","L",5,9,NA,"27-56",5,"19","Wood","Correia","","3:04","N",34401,0.01,"------","",2015
84,"Sunday Jul 5","boxscore","PHI","@","ATL","W",4,0,10,"28-56",5,"19","García","Masset","","3:13","D",18763,0,"+","",2015
85,"Monday Jul 6","boxscore","PHI","@","LAD","L",7,10,NA,"28-57",5,"19","Howell","Gómez","Jansen","4:13","N",45180,0.01,"-","",2015
86,"Tuesday Jul 7","boxscore","PHI","@","LAD","W",7,2,NA,"29-57",5,"18","Billingsley","Anderson","","2:45","N",46614,0,"+","",2015
87,"Wednesday Jul 8","boxscore","PHI","@","LAD","L",0,5,NA,"29-58",5,"18.5","Kershaw","Morgan","","2:41","N",45135,0,"-","",2015
88,"Thursday Jul 9","boxscore","PHI","@","LAD","L",0,6,NA,"29-59",5,"19","Greinke","González","","2:14","N",41290,0.01,"--","",2015
89,"Friday Jul 10","boxscore","PHI","@","SFG","L",2,15,NA,"29-60",5,"19","Bumgarner","Hamels","","3:23","N",41895,0,"---","",2015
90,"Saturday Jul 11","boxscore","PHI","@","SFG","L",5,8,NA,"29-61",5,"20","Osich","García","Casilla","3:17","N",41980,0,"----","",2015
91,"Sunday Jul 12","boxscore","PHI","@","SFG","L",2,4,NA,"29-62",5,"21","Heston","Billingsley","Casilla","2:23","D",42387,0,"-----","",2015
92,"Friday Jul 17","boxscore","PHI","","MIA","W",6,3,NA,"30-62",5,"21","Giles","Morris","","2:26","N",23074,0,"+","",2015
93,"Saturday Jul 18","boxscore","PHI","","MIA","W",3,1,NA,"31-62",5,"20","Billingsley","Koehler","Papelbon","2:39","N",23655,0,"++","",2015
94,"Sunday Jul 19","boxscore","PHI","","MIA","W-wo",8,7,NA,"32-62",5,"19","Neris","Ramos","","3:15","D",21739,0,"+++","",2015
95,"Monday Jul 20","boxscore","PHI","","TBR","W",5,3,NA,"33-62",5,"19","Buchanan","Moore","Papelbon","2:44","N",20148,0,"++++","",2015
96,"Tuesday Jul 21","boxscore","PHI","","TBR","L",0,1,NA,"33-63",5,"19","Karns","Nola","Boxberger","2:52","N",28703,0,"-","",2015
97,"Wednesday Jul 22","boxscore","PHI","","TBR","W-wo",5,4,10,"34-63",5,"19","Papelbon","Boxberger","","3:43","D",22252,0,"+","",2015
98,"Friday Jul 24","boxscore","PHI","@","CHC","W",5,3,10,"35-63",5,"17.5","Giles","Russell","Papelbon","3:13","D",41230,0,"++","",2015
99,"Saturday Jul 25","boxscore","PHI","@","CHC","W",5,0,NA,"36-63",5,"17.5","Hamels","Arrieta","","2:38","D",41683,0,"+++","",2015
100,"Sunday Jul 26","boxscore","PHI","@","CHC","W",11,5,NA,"37-63",5,"16.5","Nola","Hammel","","3:01","D",41123,0,"++++","",2015
101,"Tuesday Jul 28","boxscore","PHI","@","TOR","W",3,2,NA,"38-63",5,"15.5","Morgan","Doubront","Giles","2:29","N",30516,0.01,"+++++","",2015
102,"Wednesday Jul 29","boxscore","PHI","@","TOR","L",2,8,NA,"38-64",5,"16.5","Dickey","Williams","","2:37","N",27060,0.01,"-","",2015
103,"Thursday Jul 30","boxscore","PHI","","ATL","W",4,1,NA,"39-64",5,"16.5","Harang","Miller","Giles","2:59","N",21706,0.01,"+","",2015
104,"Friday Jul 31","boxscore","PHI","","ATL","W",9,3,NA,"40-64",5,"15.5","Buchanan","Pérez","","2:39","N",29290,0,"++","",2015
105,"Saturday Aug 1","boxscore","PHI","","ATL","W",12,2,NA,"41-64",5,"14.5","Nola","Wisler","","2:52","N",25523,0.01,"+++","",2015
106,"Sunday Aug 2","boxscore","PHI","","ATL","L",2,6,NA,"41-65",5,"14.5","Teheran","Morgan","","2:48","D",24361,0.01,"-","",2015
107,"Tuesday Aug 4","boxscore","PHI","","LAD","W",6,2,NA,"42-65",5,"15","Gómez","Wood","Giles","3:31","N",28733,0.01,"+","",2015
108,"Wednesday Aug 5","boxscore","PHI","","LAD","L",3,4,NA,"42-66",5,"16","Anderson","Harang","Jansen","3:12","N",26197,0.01,"-","",2015
109,"Thursday Aug 6","boxscore","PHI","","LAD","L",8,10,NA,"42-67",5,"16.5","Greinke","Buchanan","Jansen","3:28","D",27839,0.01,"--","",2015
110,"Friday Aug 7","boxscore","PHI","@","SDP","W",4,3,12,"43-67",4,"16.5","Neris","Quackenbush","Giles","4:13","N",31334,0,"+","",2015
111,"Saturday Aug 8","boxscore","PHI","@","SDP","W",4,2,NA,"44-67",4,"15.5","Morgan","Ross","Giles","2:55","N",44567,0,"++","",2015
112,"Sunday Aug 9","boxscore","PHI","@","SDP","W",5,3,NA,"45-67",4,"14.5","Williams","Cashner","Giles","2:56","D",24156,0.01,"+++","",2015
113,"Monday Aug 10","boxscore","PHI","@","ARI","L",3,13,NA,"45-68",4,"15.5","De La Rosa","Harang","","3:01","N",16495,0.01,"-","",2015
114,"Tuesday Aug 11","boxscore","PHI","@","ARI","L",1,13,NA,"45-69",5,"16.5","Hellickson","Buchanan","","2:43","N",19836,0.01,"--","",2015
115,"Wednesday Aug 12","boxscore","PHI","@","ARI","W",7,6,NA,"46-69",5,"16.5","Nola","Anderson","Giles","3:34","D",18047,0,"+","",2015
116,"Friday Aug 14","boxscore","PHI","@","MIL","L",1,3,NA,"46-70",5,"17","Peralta","Morgan","Rodríguez","2:30","N",34735,0,"-","",2015
117,"Saturday Aug 15","boxscore","PHI","@","MIL","L",2,4,NA,"46-71",5,"17","Smith","De Fratus","Rodríguez","2:58","N",39204,0,"--","",2015
118,"Sunday Aug 16","boxscore","PHI","@","MIL","L",1,6,NA,"46-72",5,"17","Jungmann","Harang","Rodríguez","3:07","D",33920,0,"---","",2015
119,"Tuesday Aug 18","boxscore","PHI","","TOR","L",5,8,NA,"46-73",5,"18","Hendriks","Gómez","Osuna","3:10","N",26547,0.01,"----","",2015
120,"Wednesday Aug 19","boxscore","PHI","","TOR","W",7,4,NA,"47-73",5,"17","Morgan","Buehrle","Giles","2:24","N",26246,0,"+","",2015
121,"Thursday Aug 20","boxscore","PHI","@","MIA","L",7,9,NA,"47-74",5,"17.5","Hand","Williams","Ramos","3:33","N",19689,0,"-","",2015
122,"Friday Aug 21","boxscore","PHI","@","MIA","W",7,1,NA,"48-74",5,"17.5","Eickhoff","Flores","","2:36","N",19391,0,"+","",2015
123,"Saturday Aug 22","boxscore","PHI","@","MIA","W",4,2,NA,"49-74",5,"17.5","Araújo","Ramos","Giles","2:50","N",22113,0,"++","",2015
124,"Sunday Aug 23","boxscore","PHI","@","MIA","W",2,0,NA,"50-74",4,"17.5","Nola","Conley","Giles","2:40","D",22693,0.01,"+++","",2015
125,"Monday Aug 24","boxscore","PHI","","NYM","L",7,16,NA,"50-75",4,"18.5","Gilmartin","Neris","","3:33","N",23744,0,"-","",2015
126,"Tuesday Aug 25","boxscore","PHI","","NYM","L",5,6,NA,"50-76",5,"19.5","Syndergaard","Williams","Familia","3:31","N",23544,0,"--","",2015
127,"Wednesday Aug 26","boxscore","PHI","","NYM","L",4,9,NA,"50-77",5,"20.5","Colón","Eickhoff","Clippard","3:16","N",22184,0,"---","",2015
128,"Thursday Aug 27","boxscore","PHI","","NYM","L",5,9,13,"50-78",5,"21.5","Torres","Neris","","4:32","N",22526,0,"----","",2015
129,"Friday Aug 28","boxscore","PHI","","SDP","W",7,1,NA,"51-78",5,"20.5","Nola","Kennedy","Williams","2:38","N",25145,0,"+","",2015
130,"Saturday Aug 29","boxscore","PHI","","SDP","W",4,3,NA,"52-78",4,"19.5","Morgan","Rea","Giles","2:56","N",22090,0,"++","",2015
131,"Sunday Aug 30","boxscore","PHI","","SDP","L",4,9,NA,"52-79",4,"20.5","Shields","Asher","","3:13","D",22624,0,"-","",2015
132,"Monday Aug 31","boxscore","PHI","@","NYM","L",1,3,NA,"52-80",5,"21.5","Colón","Eickhoff","Familia","2:23","N",34233,0,"--","",2015
133,"Tuesday Sep 1","boxscore","PHI","@","NYM","W",14,8,NA,"53-80",5,"20.5","Gómez","Niese","","3:17","N",30104,0,"+","",2015
134,"Wednesday Sep 2","boxscore","PHI","@","NYM","L",4,9,NA,"53-81",5,"21.5","Harvey","Nola","","2:53","N",32464,0,"-","",2015
135,"Friday Sep 4","boxscore","PHI","@","BOS","L",5,7,NA,"53-82",5,"21.5","Kelly","Morgan","Ross","3:22","N",33674,0,"--","",2015
136,"Saturday Sep 5","boxscore","PHI","@","BOS","L",2,9,NA,"53-83",5,"22.5","Miley","Asher","","2:24","D",36534,0,"---","",2015
137,"Sunday Sep 6","boxscore","PHI","@","BOS","L",2,6,NA,"53-84",5,"22.5","Rodríguez","Eickhoff","","2:57","D",34708,0,"----","",2015
138,"Monday Sep 7","boxscore","PHI","","ATL","L",2,7,NA,"53-85",5,"23.5","Pérez","Harang","","2:32","N",15125,0,"-----","",2015
139,"Tuesday Sep 8","boxscore","PHI","","ATL","W",5,0,NA,"54-85",5,"23.5","Nola","Weber","Giles","2:30","N",15610,0,"+","",2015
140,"Wednesday Sep 9","boxscore","PHI","","ATL","L",1,8,NA,"54-86",5,"24.5","Teheran","Buchanan","","2:52","N",15241,0,"-","",2015
141,"Friday Sep 11 (1)","boxscore","PHI","","CHC","L",1,5,NA,"54-87",5,"26.5","Arrieta","Morgan","","2:54","N",NA,0,"--","2015-09-10 (Rain)",2015
142,"Friday Sep 11 (2)","boxscore","PHI","","CHC","L",3,7,NA,"54-88",5,"26.5","Hendricks","Asher","Rondón","2:56","N",22538,0,"---","",2015
143,"Saturday Sep 12","boxscore","PHI","","CHC","W-wo",7,5,NA,"55-88",5,"26.5","Giles","Rondón","","3:12","N",20813,0,"+","",2015
144,"Sunday Sep 13","boxscore","PHI","","CHC","W",7,4,NA,"56-88",4,"26.5","Hinojosa","Richard","Giles","3:04","D",23450,0,"++","",2015
145,"Monday Sep 14","boxscore","PHI","","WSN","L",7,8,11,"56-89",5,"27.5","Papelbon","García","Fister","3:54","N",15402,0,"-","",2015
146,"Tuesday Sep 15","boxscore","PHI","","WSN","L",0,4,NA,"56-90",5,"27.5","Strasburg","Buchanan","","2:35","N",15325,0,"--","",2015
147,"Wednesday Sep 16","boxscore","PHI","","WSN","L",2,12,NA,"56-91",5,"27.5","Gonzalez","Asher","","2:49","N",15753,0,"---","",2015
148,"Friday Sep 18","boxscore","PHI","@","ATL","L",1,2,NA,"56-92",5,"28.5","Pérez","Morgan","Vizcaíno","2:58","N",22525,0,"----","",2015
149,"Saturday Sep 19","boxscore","PHI","@","ATL","L",1,2,NA,"56-93",5,"28.5","Jackson","Williams","Vizcaíno","2:21","N",24855,0,"-----","",2015
150,"Sunday Sep 20","boxscore","PHI","@","ATL","L-wo",1,2,NA,"56-94",5,"28.5","Moylan","García","","2:33","D",23723,0,"------","",2015
151,"Tuesday Sep 22","boxscore","PHI","@","MIA","W",6,2,NA,"57-94",5,"28","Harang","Koehler","","2:43","N",16742,0,"+","",2015
152,"Wednesday Sep 23","boxscore","PHI","@","MIA","L-wo",3,4,11,"57-95",5,"28","Ellington","Williams","","3:20","N",15662,0,"-","",2015
153,"Thursday Sep 24","boxscore","PHI","@","MIA","L",0,1,NA,"57-96",5,"29","Morris","Asher","Ramos","2:34","N",17083,0,"--","",2015
154,"Friday Sep 25","boxscore","PHI","@","WSN","W",8,2,NA,"58-96",5,"29","Eickhoff","Zimmermann","","2:30","N",31019,0,"+","",2015
155,"Saturday Sep 26","boxscore","PHI","@","WSN","L-wo",1,2,12,"58-97",5,"30","Thornton","Murray","","3:50","D",32086,0,"-","",2015
156,"Sunday Sep 27","boxscore","PHI","@","WSN","W",12,5,NA,"59-97",5,"30","Hinojosa","Papelbon","","3:02","D",28661,0,"+","",2015
157,"Tuesday Sep 29","boxscore","PHI","","NYM","W",4,3,NA,"60-97",5,"29","Loewen","Colón","Giles","2:46","N",15227,0,"++","",2015
158,"Wednesday Sep 30","boxscore","PHI","","NYM","W",7,5,NA,"61-97",5,"28","Roberts","Parnell","Giles","3:59","N",15201,0,"+++","",2015
159,"Thursday Oct 1","boxscore","PHI","","NYM","W",3,0,NA,"62-97",5,"27","Eickhoff","Gilmartin","García","2:23","D",13238,0,"++++","",2015
160,"Saturday Oct 3 (1)","boxscore","PHI","","MIA","L",6,7,NA,"62-98",5,"27","Narveson","Giles","Ramos","3:19","D",NA,0,"-","2015-10-02 (Rain)",2015
161,"Saturday Oct 3 (2)","boxscore","PHI","","MIA","L",2,5,NA,"62-99",5,"27","Nicolino","Asher","Ramos","2:35","N",16240,0,"--","",2015
162,"Sunday Oct 4","boxscore","PHI","","MIA","W",7,2,NA,"63-99",5,"27","García","Rienzo","","2:29","D",21734,0,"+","",2015
1,"Monday Apr 4","boxscore","PHI","@","CIN","L",2,6,NA,"0-1",3,"1","Ohlendorf","Hernandez","","2:56","D",43683,0.94,"-",NA,2016
2,"Wednesday Apr 6","boxscore","PHI","@","CIN","L-wo",2,3,NA,"0-2",3,"2","Wood","Hinojosa","","2:23","N",21621,0.94,"--",NA,2016
3,"Thursday Apr 7","boxscore","PHI","@","CIN","L",6,10,NA,"0-3",5,"2","Stephenson","Morton","","3:04","D",10784,0.86,"---",NA,2016
4,"Friday Apr 8","boxscore","PHI","@","NYM","L",2,7,NA,"0-4",5,"2.5","deGrom","Eickhoff","","3:09","D",44099,0.97,"----",NA,2016
5,"Saturday Apr 9","boxscore","PHI","@","NYM","W",1,0,NA,"1-4",4,"2","Velasquez","Colón","Gómez","2:44","N",37083,0.92,"+",NA,2016
6,"Sunday Apr 10","boxscore","PHI","@","NYM","W",5,2,NA,"2-4",3,"2","Hellickson","Harvey","Gómez","2:57","D",37233,0.98,"++",NA,2016
7,"Monday Apr 11","boxscore","PHI","","SDP","L",3,4,NA,"2-5",4,"3","Quackenbush","Nola","Rodney","2:51","D",45229,0.89,"-",NA,2016
8,"Tuesday Apr 12","boxscore","PHI","","SDP","W",3,0,NA,"3-5",3,"3","Morton","Erlin","Gómez","2:58","N",21043,0.86,"+",NA,2016
9,"Wednesday Apr 13","boxscore","PHI","","SDP","W",2,1,NA,"4-5",2,"3","Eickhoff","Rea","Gómez","2:36","N",17638,0.92,"++",NA,2016
10,"Thursday Apr 14","boxscore","PHI","","SDP","W",3,0,NA,"5-5",2,"3","Velasquez","Pomeranz","","2:27","D",18079,0.88,"+++",NA,2016
11,"Friday Apr 15","boxscore","PHI","","WSN","L",1,9,NA,"5-6",2,"4","Ross","Hellickson","","3:11","N",22624,1.18,"-",NA,2016
12,"Saturday Apr 16","boxscore","PHI","","WSN","L",1,8,NA,"5-7",2,"5","Scherzer","Nola","","2:37","N",30320,1.09,"--",NA,2016
13,"Sunday Apr 17","boxscore","PHI","","WSN","W-wo",3,2,10,"6-7",2,"4","Gómez","Papelbon","","3:24","D",37378,1.07,"+",NA,2016
14,"Monday Apr 18","boxscore","PHI","","NYM","L",2,5,NA,"6-8",3,"4","Syndergaard","Eickhoff","","2:51","N",21585,1.01,"-",NA,2016
15,"Tuesday Apr 19","boxscore","PHI","","NYM","L",1,11,NA,"6-9",3,"5","Verrett","Velasquez","","3:03","N",22417,0.99,"--",NA,2016
