"Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","cLI","Streak","Orig..Scheduled","Year"
38,"Wednesday May 14","boxscore","PHI","","LAA","L",0,3,NA,"17-21",5,"4.5","Richards","Burnett","Smith","3:08","D",33308,0.82,"---","",2014
39,"Friday May 16","boxscore","PHI","","CIN","L",0,3,NA,"17-22",5,"4.5","Simón","Kendrick","Chapman","2:48","N",27316,0.83,"----","",2014
40,"Saturday May 17","boxscore","PHI","","CIN","W",12,1,NA,"18-22",5,"3.5","Hamels","Bailey","","2:54","N",30075,0.72,"+","",2014
41,"Sunday May 18","boxscore","PHI","","CIN","W",8,3,NA,"19-22",4,"3.5","Lee","Cingrani","","3:03","D",36096,0.81,"++","",2014
42,"Tuesday May 20","boxscore","PHI","@","MIA","W",6,5,NA,"20-22",4,"4.0","Burnett","DeSclafani","Papelbon","3:30","N",18699,0.96,"+++","",2014
43,"Wednesday May 21","boxscore","PHI","@","MIA","L",5,14,NA,"20-23",4,"4.0","Eovaldi","Kendrick","","3:39","N",18257,0.99,"-","",2014
44,"Thursday May 22","boxscore","PHI","@","MIA","L-wo",3,4,NA,"20-24",4,"5.0","Cishek","Diekman","","2:46","D",25507,1.03,"--","",2014
45,"Friday May 23","boxscore","PHI","","LAD","L",0,2,NA,"20-25",5,"6.0","Kershaw","Hernández","Jansen","3:15","N",27254,0.83,"---","",2014
46,"Saturday May 24","boxscore","PHI","","LAD","W",5,3,NA,"21-25",4,"5.0","Buchanan","Haren","Papelbon","2:37","D",32287,0.73,"+","",2014
47,"Sunday May 25","boxscore","PHI","","LAD","L",0,6,NA,"21-26",4,"6.0","Beckett","Burnett","","2:37","D",36141,0.84,"-","",2014
48,"Monday May 26","boxscore","PHI","","COL","W",9,0,NA,"22-26",4,"5.0","Kendrick","Chacín","","3:06","N",27289,0.74,"+","",2014
49,"Tuesday May 27","boxscore","PHI","","COL","L",2,6,NA,"22-27",4,"5.0","De La Rosa","Hamels","","3:21","N",23159,0.83,"-","",2014
50,"Wednesday May 28","boxscore","PHI","","COL","W-wo",6,3,NA,"23-27",4,"4.0","Papelbon","Hawkins","","3:46","N",23691,0.77,"+","",2014
51,"Thursday May 29","boxscore","PHI","","NYM","L",1,4,NA,"23-28",5,"4.0","Wheeler","Buchanan","Mejía","2:55","N",26668,0.89,"-","",2014
52,"Friday May 30","boxscore","PHI","","NYM","W-wo",6,5,14,"24-28",4,"4.0","De Fratus","Mejía","","5:23","N",30236,0.85,"+","",2014
53,"Saturday May 31","boxscore","PHI","","NYM","L",4,5,14,"24-29",5,"5.0","Carlyle","Bastardo","Torres","5:32","D",37516,0.92,"-","",2014
54,"Sunday Jun 1","boxscore","PHI","","NYM","L",3,4,11,"24-30",5,"6.0","Edgin","Aumont","Mejía","3:29","D",36039,0.82,"--","",2014
55,"Monday Jun 2","boxscore","PHI","","NYM","L",2,11,NA,"24-31",5,"6.5","Colón","Hernández","","3:17","N",26302,0.72,"---","2014-04-30 (Rain)",2014
56,"Tuesday Jun 3","boxscore","PHI","@","WSN","L",0,7,NA,"24-32",5,"6.5","Zimmermann","Buchanan","","2:42","N",25291,0.68,"----","",2014
57,"Wednesday Jun 4","boxscore","PHI","@","WSN","L",4,8,NA,"24-33",5,"6.5","Strasburg","Burnett","","3:00","N",33614,0.57,"-----","",2014
58,"Thursday Jun 5","boxscore","PHI","@","WSN","L",2,4,NA,"24-34",5,"7.0","Fister","Kendrick","Soriano","2:38","D",33016,0.58,"------","",2014
