Game,Date,Tm,Opp,W.L,R,RA,Rank_Standings,Game_Length,Day_Night,Attendance,CLI,Streak,Home,FullDate,Year,start_time_ET
47,5/25/2015,PHI,NYM,L,3,6,4,3:07,D,30946,0.62,--,1,Monday May 25 2015,2015,1:10 PM
48,5/26/2015,PHI,NYM,L-wo,4,5,4,3:17,N,21064,0.5,---,1,Tuesday May 26 2015,2015,7:10 PM
49,5/27/2015,PHI,NYM,L,0,7,4,2:41,D,24406,0.48,----,1,Wednesday May 27 2015,2015,1:10 PM
50,5/29/2015,PHI,COL,L,1,4,5,2:32,N,22227,0.31,-----,0,Friday May 29 2015,2015,7:05 PM
51,5/30/2015,PHI,COL,L,2,5,5,3:23,D,23510,0.27,------,0,Saturday May 30 2015,2015,3:05 PM
52,5/31/2015,PHI,COL,L,1,4,5,2:56,D,22166,0.24,-------,0,Sunday May 31 2015,2015,1:35 PM
53,6/2/2015,PHI,CIN,W-wo,5,4,5,2:52,N,20209,0.21,+,0,Tuesday Jun 2 2015,2015,7:05 PM
54,6/3/2015,PHI,CIN,W-wo,5,4,5,3:31,N,21253,0.23,++,0,Wednesday Jun 3 2015,2015,7:05 PM
55,6/4/2015,PHI,CIN,L,4,6,5,2:41,N,21057,0.29,-,0,Thursday Jun 4 2015,2015,7:05 PM
56,6/5/2015,PHI,SFG,L,4,5,5,2:58,N,20638,0.26,--,0,Friday Jun 5 2015,2015,7:05 PM
57,6/6/2015,PHI,SFG,L,5,7,5,2:53,D,29102,0.22,---,0,Saturday Jun 6 2015,2015,3:05 PM
58,6/7/2015,PHI,SFG,W,6,4,5,3:07,D,24799,0.19,+,0,Sunday Jun 7 2015,2015,1:35 PM
59,6/8/2015,PHI,CIN,L,4,6,5,2:55,N,30900,0.22,-,1,Monday Jun 8 2015,2015,7:10 PM
60,6/9/2015,PHI,CIN,L,2,11,5,2:50,N,27993,0.2,--,1,Tuesday Jun 9 2015,2015,7:10 PM
61,6/10/2015,PHI,CIN,L,2,5,5,2:48,D,32994,0.18,---,1,Wednesday Jun 10 2015,2015,12:35 PM
62,6/12/2015,PHI,PIT,L-wo,0,1,5,4:34,N,33749,0.14,----,1,Friday Jun 12 2015,2015,7:05 PM
63,6/13/2015,PHI,PIT,L,3,4,5,3:05,D,37516,0.13,-----,1,Saturday Jun 13 2015,2015,4:05 PM
64,6/14/2015,PHI,PIT,L-wo,0,1,5,3:04,D,34518,0.11,------,1,Sunday Jun 14 2015,2015,1:35 PM
65,6/15/2015,PHI,BAL,L,0,4,5,2:09,N,23730,0.09,-------,1,Monday Jun 15 2015,2015,7:05 PM
66,6/16/2015,PHI,BAL,L,3,19,5,3:11,N,26964,0.06,--------,1,Tuesday Jun 16 2015,2015,7:05 PM
67,6/17/2015,PHI,BAL,L,4,6,5,2:34,N,26162,0.04,---------,0,Wednesday Jun 17 2015,2015,7:05 PM
68,6/18/2015,PHI,BAL,W,2,1,5,2:32,D,26220,0.04,+,0,Thursday Jun 18 2015,2015,1:05 PM
69,6/19/2015,PHI,STL,L,4,12,5,3:34,N,21169,0.05,-,0,Friday Jun 19 2015,2015,7:05 PM
70,6/20/2015,PHI,STL,L,1,10,5,3:02,N,24256,0.04,--,0,Saturday Jun 20 2015,2015,7:05 PM
71,6/21/2015,PHI,STL,W,9,2,5,2:29,D,30423,0.03,+,0,Sunday Jun 21 2015,2015,1:35 PM
72,6/22/2015,PHI,NYY,W,11,8,5,3:33,N,36883,0.03,++,1,Monday Jun 22 2015,2015,7:05 PM
73,6/23/2015,PHI,NYY,W,11,6,5,3:45,N,36198,0.05,+++,1,Tuesday Jun 23 2015,2015,7:05 PM
74,6/24/2015,PHI,NYY,L,2,10,5,3:10,D,45877,0.06,-,1,Wednesday Jun 24 2015,2015,1:05 PM
75,6/26/2015,PHI,WSN,L,2,5,5,2:38,N,22292,0.06,--,0,Friday Jun 26 2015,2015,7:05 PM
76,6/28/2015,PHI,WSN,L,2,3,5,3:07,D,NA,0.04,---,0,Sunday Jun 28 (1) 2015,2015,1:10 PM
77,6/28/2015,PHI,WSN,W,8,5,5,3:15,D,27126,0.03,+,0,Sunday Jun 28 (2) 2015,2015,3:05 PM
78,6/29/2015,PHI,MIL,L,4,7,5,3:22,N,18423,0.02,-,0,Monday Jun 29 2015,2015,7:05 PM
79,6/30/2015,PHI,MIL,L,3,4,5,3:26,N,20564,0.01,--,0,Tuesday Jun 30 2015,2015,7:05 PM
80,7/1/2015,PHI,MIL,L,5,9,5,2:58,N,27069,0.02,---,0,Wednesday Jul 1 2015,2015,7:05 PM
81,7/2/2015,PHI,MIL,L,7,8,5,3:57,N,30485,0.01,----,0,Thursday Jul 2 2015,2015,6:35 PM
82,7/3/2015,PHI,ATL,L,1,2,5,2:43,N,33090,0.01,-----,1,Friday Jul 3 2015,2015,7:35 PM
83,7/4/2015,PHI,ATL,L,5,9,5,3:04,N,34401,0.01,------,1,Saturday Jul 4 2015,2015,7:15 PM
84,7/5/2015,PHI,ATL,W,4,0,5,3:13,D,18763,0,+,1,Sunday Jul 5 2015,2015,1:35 PM
85,7/6/2015,PHI,LAD,L,7,10,5,4:13,N,45180,0.01,-,1,Monday Jul 6 2015,2015,10:10 PM
86,7/7/2015,PHI,LAD,W,7,2,5,2:45,N,46614,0,+,1,Tuesday Jul 7 2015,2015,10:10 PM
87,7/8/2015,PHI,LAD,L,0,5,5,2:41,N,45135,0,-,1,Wednesday Jul 8 2015,2015,10:10 PM
88,7/9/2015,PHI,LAD,L,0,6,5,2:14,N,41290,0.01,--,1,Thursday Jul 9 2015,2015,10:10 PM
89,7/10/2015,PHI,SFG,L,2,15,5,3:23,N,41895,0,---,1,Friday Jul 10 2015,2015,10:15 PM
90,7/11/2015,PHI,SFG,L,5,8,5,3:17,N,41980,0,----,1,Saturday Jul 11 2015,2015,10:05 PM
91,7/12/2015,PHI,SFG,L,2,4,5,2:23,D,42387,0,-----,1,Sunday Jul 12 2015,2015,4:05 PM
92,7/17/2015,PHI,MIA,W,6,3,5,2:26,N,23074,0,+,0,Friday Jul 17 2015,2015,7:05 PM
93,7/18/2015,PHI,MIA,W,3,1,5,2:39,N,23655,0,++,0,Saturday Jul 18 2015,2015,7:05 PM
94,7/19/2015,PHI,MIA,W-wo,8,7,5,3:15,D,21739,0,+++,0,Sunday Jul 19 2015,2015,1:35 PM
95,7/20/2015,PHI,TBR,W,5,3,5,2:44,N,20148,0,++++,0,Monday Jul 20 2015,2015,7:05 PM
96,7/21/2015,PHI,TBR,L,0,1,5,2:52,N,28703,0,-,0,Tuesday Jul 21 2015,2015,7:05 PM
97,7/22/2015,PHI,TBR,W-wo,5,4,5,3:43,D,22252,0,+,0,Wednesday Jul 22 2015,2015,1:05 PM
98,7/24/2015,PHI,CHC,W,5,3,5,3:13,D,41230,0,++,1,Friday Jul 24 2015,2015,4:05 PM
99,7/25/2015,PHI,CHC,W,5,0,5,2:38,D,41683,0,+++,1,Saturday Jul 25 2015,2015,4:05 PM
100,7/26/2015,PHI,CHC,W,11,5,5,3:01,D,41123,0,++++,1,Sunday Jul 26 2015,2015,2:20 PM
101,7/28/2015,PHI,TOR,W,3,2,5,2:29,N,30516,0.01,+++++,1,Tuesday Jul 28 2015,2015,7:07 PM
102,7/29/2015,PHI,TOR,L,2,8,5,2:37,N,27060,0.01,-,1,Wednesday Jul 29 2015,2015,7:07 PM
103,7/30/2015,PHI,ATL,W,4,1,5,2:59,N,21706,0.01,+,0,Thursday Jul 30 2015,2015,7:05 PM
104,7/31/2015,PHI,ATL,W,9,3,5,2:39,N,29290,0,++,0,Friday Jul 31 2015,2015,7:05 PM
105,8/1/2015,PHI,ATL,W,12,2,5,2:52,N,25523,0.01,+++,0,Saturday Aug 1 2015,2015,7:05 PM
106,8/2/2015,PHI,ATL,L,2,6,5,2:48,D,24361,0.01,-,0,Sunday Aug 2 2015,2015,1:35 PM
107,8/4/2015,PHI,LAD,W,6,2,5,3:31,N,28733,0.01,+,0,Tuesday Aug 4 2015,2015,7:05 PM
108,8/5/2015,PHI,LAD,L,3,4,5,3:12,N,26197,0.01,-,0,Wednesday Aug 5 2015,2015,7:05 PM
109,8/6/2015,PHI,LAD,L,8,10,5,3:28,D,27839,0.01,--,0,Thursday Aug 6 2015,2015,1:05 PM
110,8/7/2015,PHI,SDP,W,4,3,4,4:13,N,31334,0,+,1,Friday Aug 7 2015,2015,10:10 PM
111,8/8/2015,PHI,SDP,W,4,2,4,2:55,N,44567,0,++,1,Saturday Aug 8 2015,2015,8:40 PM
112,8/9/2015,PHI,SDP,W,5,3,4,2:56,D,24156,0.01,+++,1,Sunday Aug 9 2015,2015,4:10 PM
113,8/10/2015,PHI,ARI,L,3,13,4,3:01,N,16495,0.01,-,1,Monday Aug 10 2015,2015,9:40 PM
114,8/11/2015,PHI,ARI,L,1,13,5,2:43,N,19836,0.01,--,1,Tuesday Aug 11 2015,2015,9:40 PM
115,8/12/2015,PHI,ARI,W,7,6,5,3:34,D,18047,0,+,1,Wednesday Aug 12 2015,2015,3:40 PM
116,8/14/2015,PHI,MIL,L,1,3,5,2:30,N,34735,0,-,1,Friday Aug 14 2015,2015,8:10 PM
117,8/15/2015,PHI,MIL,L,2,4,5,2:58,N,39204,0,--,1,Saturday Aug 15 2015,2015,7:10 PM
118,8/16/2015,PHI,MIL,L,1,6,5,3:07,D,33920,0,---,1,Sunday Aug 16 2015,2015,2:10 PM
119,8/18/2015,PHI,TOR,L,5,8,5,3:10,N,26547,0.01,----,0,Tuesday Aug 18 2015,2015,7:05 PM
120,8/19/2015,PHI,TOR,W,7,4,5,2:24,N,26246,0,+,0,Wednesday Aug 19 2015,2015,7:05 PM
121,8/20/2015,PHI,MIA,L,7,9,5,3:33,N,19689,0,-,1,Thursday Aug 20 2015,2015,7:10 PM
122,8/21/2015,PHI,MIA,W,7,1,5,2:36,N,19391,0,+,1,Friday Aug 21 2015,2015,7:10 PM
123,8/22/2015,PHI,MIA,W,4,2,5,2:50,N,22113,0,++,1,Saturday Aug 22 2015,2015,7:10 PM
124,8/23/2015,PHI,MIA,W,2,0,4,2:40,D,22693,0.01,+++,1,Sunday Aug 23 2015,2015,1:10 PM
125,8/24/2015,PHI,NYM,L,7,16,4,3:33,N,23744,0,-,0,Monday Aug 24 2015,2015,7:05 PM
126,8/25/2015,PHI,NYM,L,5,6,5,3:31,N,23544,0,--,0,Tuesday Aug 25 2015,2015,7:05 PM
127,8/26/2015,PHI,NYM,L,4,9,5,3:16,N,22184,0,---,0,Wednesday Aug 26 2015,2015,7:05 PM
128,8/27/2015,PHI,NYM,L,5,9,5,4:32,N,22526,0,----,0,Thursday Aug 27 2015,2015,7:05 PM
129,8/28/2015,PHI,SDP,W,7,1,5,2:38,N,25145,0,+,0,Friday Aug 28 2015,2015,7:05 PM
130,8/29/2015,PHI,SDP,W,4,3,4,2:56,N,22090,0,++,0,Saturday Aug 29 2015,2015,7:05 PM
131,8/30/2015,PHI,SDP,L,4,9,4,3:13,D,22624,0,-,0,Sunday Aug 30 2015,2015,1:35 PM
132,8/31/2015,PHI,NYM,L,1,3,5,2:23,N,34233,0,--,1,Monday Aug 31 2015,2015,7:10 PM
133,9/1/2015,PHI,NYM,W,14,8,5,3:17,N,30104,0,+,1,Tuesday Sep 1 2015,2015,7:10 PM
134,9/2/2015,PHI,NYM,L,4,9,5,2:53,N,32464,0,-,1,Wednesday Sep 2 2015,2015,7:10 PM
135,9/4/2015,PHI,BOS,L,5,7,5,3:22,N,33674,0,--,1,Friday Sep 4 2015,2015,7:10 PM
136,9/5/2015,PHI,BOS,L,2,9,5,2:24,D,36534,0,---,1,Saturday Sep 5 2015,2015,4:05 PM
137,9/6/2015,PHI,BOS,L,2,6,5,2:57,D,34708,0,----,1,Sunday Sep 6 2015,2015,1:35 PM
138,9/7/2015,PHI,ATL,L,2,7,5,2:32,N,15125,0,-----,0,Monday Sep 7 2015,2015,7:05 PM
139,9/8/2015,PHI,ATL,W,5,0,5,2:30,N,15610,0,+,0,Tuesday Sep 8 2015,2015,7:05 PM
140,9/9/2015,PHI,ATL,L,1,8,5,2:52,N,15241,0,-,0,Wednesday Sep 9 2015,2015,7:05 PM
141,9/11/2015,PHI,CHC,L,1,5,5,2:54,N,NA,0,--,0,Friday Sep 11 (1) 2015,2015,5:05 PM
142,9/11/2015,PHI,CHC,L,3,7,5,2:56,N,22538,0,---,0,Friday Sep 11 (2) 2015,2015,7:05 PM
143,9/12/2015,PHI,CHC,W-wo,7,5,5,3:12,N,20813,0,+,0,Saturday Sep 12 2015,2015,7:05 PM
144,9/13/2015,PHI,CHC,W,7,4,4,3:04,D,23450,0,++,0,Sunday Sep 13 2015,2015,1:35 PM
145,9/14/2015,PHI,WSN,L,7,8,5,3:54,N,15402,0,-,0,Monday Sep 14 2015,2015,7:05 PM
146,9/15/2015,PHI,WSN,L,0,4,5,2:35,N,15325,0,--,0,Tuesday Sep 15 2015,2015,7:05 PM
147,9/16/2015,PHI,WSN,L,2,12,5,2:49,N,15753,0,---,0,Wednesday Sep 16 2015,2015,7:05 PM
148,9/18/2015,PHI,ATL,L,1,2,5,2:58,N,22525,0,----,1,Friday Sep 18 2015,2015,7:35 PM
149,9/19/2015,PHI,ATL,L,1,2,5,2:21,N,24855,0,-----,1,Saturday Sep 19 2015,2015,7:10 PM
150,9/20/2015,PHI,ATL,L-wo,1,2,5,2:33,D,23723,0,------,1,Sunday Sep 20 2015,2015,1:35 PM
151,9/22/2015,PHI,MIA,W,6,2,5,2:43,N,16742,0,+,1,Tuesday Sep 22 2015,2015,7:10 PM
152,9/23/2015,PHI,MIA,L-wo,3,4,5,3:20,N,15662,0,-,1,Wednesday Sep 23 2015,2015,7:10 PM
153,9/24/2015,PHI,MIA,L,0,1,5,2:34,N,17083,0,--,1,Thursday Sep 24 2015,2015,7:10 PM
154,9/25/2015,PHI,WSN,W,8,2,5,2:30,N,31019,0,+,1,Friday Sep 25 2015,2015,7:05 PM
155,9/26/2015,PHI,WSN,L-wo,1,2,5,3:50,D,32086,0,-,1,Saturday Sep 26 2015,2015,4:05 PM
156,9/27/2015,PHI,WSN,W,12,5,5,3:02,D,28661,0,+,1,Sunday Sep 27 2015,2015,1:35 PM
157,9/29/2015,PHI,NYM,W,4,3,5,2:46,N,15227,0,++,0,Tuesday Sep 29 2015,2015,7:05 PM
158,9/30/2015,PHI,NYM,W,7,5,5,3:59,N,15201,0,+++,0,Wednesday Sep 30 2015,2015,7:05 PM
159,10/1/2015,PHI,NYM,W,3,0,5,2:23,D,13238,0,++++,0,Thursday Oct 1 2015,2015,12:05 PM
160,10/3/2015,PHI,MIA,L,6,7,5,3:19,D,NA,0,-,0,Saturday Oct 3 (1) 2015,2015,4:05 PM
161,10/3/2015,PHI,MIA,L,2,5,5,2:35,N,16240,0,--,0,Saturday Oct 3 (2) 2015,2015,7:05 PM
162,10/4/2015,PHI,MIA,W,7,2,5,2:29,D,21734,0,+,0,Sunday Oct 4 2015,2015,3:05 PM
1,4/4/2016,PHI,CIN,L,2,6,3,2:56,D,43683,0.94,-,1,Monday Apr 4 2016,2016,4:10 PM
2,4/6/2016,PHI,CIN,L-wo,2,3,3,2:23,N,21621,0.94,--,1,Wednesday Apr 6 2016,2016,7:10 PM
3,4/7/2016,PHI,CIN,L,6,10,5,3:04,D,10784,0.86,---,1,Thursday Apr 7 2016,2016,12:35 PM
4,4/8/2016,PHI,NYM,L,2,7,5,3:09,D,44099,0.97,----,1,Friday Apr 8 2016,2016,1:10 PM
5,4/9/2016,PHI,NYM,W,1,0,4,2:44,N,37083,0.92,+,1,Saturday Apr 9 2016,2016,7:10 PM
6,4/10/2016,PHI,NYM,W,5,2,3,2:57,D,37233,0.98,++,1,Sunday Apr 10 2016,2016,1:10 PM
7,4/11/2016,PHI,SDP,L,3,4,4,2:51,D,45229,0.89,-,0,Monday Apr 11 2016,2016,3:05 PM
8,4/12/2016,PHI,SDP,W,3,0,3,2:58,N,21043,0.86,+,0,Tuesday Apr 12 2016,2016,7:05 PM
9,4/13/2016,PHI,SDP,W,2,1,2,2:36,N,17638,0.92,++,0,Wednesday Apr 13 2016,2016,7:05 PM
10,4/14/2016,PHI,SDP,W,3,0,2,2:27,D,18079,0.88,+++,0,Thursday Apr 14 2016,2016,1:05 PM
11,4/15/2016,PHI,WSN,L,1,9,2,3:11,N,22624,1.18,-,0,Friday Apr 15 2016,2016,7:05 PM
12,4/16/2016,PHI,WSN,L,1,8,2,2:37,N,30320,1.09,--,0,Saturday Apr 16 2016,2016,7:05 PM
13,4/17/2016,PHI,WSN,W-wo,3,2,2,3:24,D,37378,1.07,+,0,Sunday Apr 17 2016,2016,1:35 PM
14,4/18/2016,PHI,NYM,L,2,5,3,2:51,N,21585,1.01,-,0,Monday Apr 18 2016,2016,7:05 PM
15,4/19/2016,PHI,NYM,L,1,11,3,3:03,N,22417,0.99,--,0,Tuesday Apr 19 2016,2016,7:05 PM
16,4/20/2016,PHI,NYM,W-wo,5,4,3,4:03,N,20057,0.88,+,0,Wednesday Apr 20 2016,2016,7:05 PM
17,4/22/2016,PHI,MIL,W,5,2,3,2:48,N,23439,0.84,++,1,Friday Apr 22 2016,2016,8:10 PM
18,4/23/2016,PHI,MIL,W,10,6,3,4:00,N,34813,0.91,+++,1,Saturday Apr 23 2016,2016,7:10 PM
19,4/24/2016,PHI,MIL,L,5,8,3,2:49,D,28131,0.95,-,1,Sunday Apr 24 2016,2016,2:10 PM
20,4/26/2016,PHI,WSN,W,4,3,3,3:25,N,25097,1.08,+,1,Tuesday Apr 26 2016,2016,7:05 PM
21,4/27/2016,PHI,WSN,W,3,0,3,2:59,N,24186,1.13,++,1,Wednesday Apr 27 2016,2016,7:05 PM
22,4/28/2016,PHI,WSN,W,3,0,3,2:59,D,22112,1.19,+++,1,Thursday Apr 28 2016,2016,4:05 PM
23,4/29/2016,PHI,CLE,W-wo,4,3,3,3:20,N,18677,0.97,++++,0,Friday Apr 29 2016,2016,7:05 PM
24,4/30/2016,PHI,CLE,W,4,3,3,3:03,N,23636,1,+++++,0,Saturday Apr 30 2016,2016,7:05 PM
25,5/1/2016,PHI,CLE,W,2,1,3,2:40,D,23809,0.98,++++++,0,Sunday May 1 2016,2016,2:35 PM
26,5/2/2016,PHI,STL,L,3,10,3,3:01,N,40438,1.11,-,1,Monday May 2 2016,2016,8:15 PM
27,5/3/2016,PHI,STL,W,1,0,3,2:31,N,40087,1.06,+,1,Tuesday May 3 2016,2016,8:15 PM
28,5/4/2016,PHI,STL,L-wo,4,5,3,3:03,N,40725,1.1,-,1,Wednesday May 4 2016,2016,8:15 PM
29,5/5/2016,PHI,STL,L,0,4,3,2:39,D,41818,1.05,--,1,Thursday May 5 2016,2016,1:45 PM
30,5/6/2016,PHI,MIA,L,4,6,4,2:49,N,19983,1.15,---,1,Friday May 6 2016,2016,7:10 PM
31,5/7/2016,PHI,MIA,W,4,3,3,3:20,N,21719,1.17,+,1,Saturday May 7 2016,2016,7:10 PM
32,5/8/2016,PHI,MIA,W,6,5,3,3:10,D,19625,1.15,++,1,Sunday May 8 2016,2016,1:10 PM
33,5/10/2016,PHI,ATL,W,3,2,3,2:33,N,14490,1.11,+++,1,Tuesday May 10 2016,2016,7:10 PM
34,5/11/2016,PHI,ATL,L,1,5,3,2:20,N,13760,1.11,-,1,Wednesday May 11 2016,2016,7:10 PM
35,5/12/2016,PHI,ATL,W,7,4,3,3:14,N,15643,1.09,+,1,Thursday May 12 2016,2016,7:10 PM
36,5/13/2016,PHI,CIN,W,3,2,3,2:37,N,22230,1.18,++,0,Friday May 13 2016,2016,7:05 PM
37,5/14/2016,PHI,CIN,W,4,3,2,2:45,N,29535,1.13,+++,0,Saturday May 14 2016,2016,7:05 PM
38,5/15/2016,PHI,CIN,L,4,9,2,3:52,D,27869,1.21,-,0,Sunday May 15 2016,2016,1:35 PM
39,5/16/2016,PHI,MIA,L,3,5,2,3:07,N,28348,1.34,--,0,Monday May 16 2016,2016,7:05 PM
40,5/17/2016,PHI,MIA,W,3,1,2,2:53,N,18140,1.36,+,0,Tuesday May 17 2016,2016,7:05 PM
41,5/18/2016,PHI,MIA,W,4,2,2,2:29,D,29579,1.37,++,0,Wednesday May 18 2016,2016,1:05 PM
42,5/20/2016,PHI,ATL,L,1,7,2,3:00,N,27257,1.24,-,0,Friday May 20 2016,2016,7:05 PM
43,5/21/2016,PHI,ATL,L,0,2,3,2:56,D,20196,1.17,--,0,Saturday May 21 2016,2016,3:05 PM
44,5/22/2016,PHI,ATL,W,5,0,3,2:35,D,23367,1.19,+,0,Sunday May 22 2016,2016,1:35 PM
45,5/23/2016,PHI,DET,L,4,5,3,3:10,N,26400,1.13,-,1,Monday May 23 2016,2016,7:10 PM
46,5/24/2016,PHI,DET,L,1,3,3,2:38,N,26531,1.16,--,1,Tuesday May 24 2016,2016,7:10 PM
47,5/25/2016,PHI,DET,W,8,5,3,3:11,D,31187,1.07,+,1,Wednesday May 25 2016,2016,1:10 PM
48,5/27/2016,PHI,CHC,L,2,6,3,3:04,D,38941,1.13,-,1,Friday May 27 2016,2016,2:20 PM
49,5/28/2016,PHI,CHC,L,1,4,3,2:18,D,41555,1.11,--,1,Saturday May 28 2016,2016,2:20 PM
50,5/29/2016,PHI,CHC,L,2,7,3,2:50,D,41575,1.08,---,1,Sunday May 29 2016,2016,2:20 PM
51,5/30/2016,PHI,WSN,L,3,4,3,2:53,N,21993,1.26,----,0,Monday May 30 2016,2016,7:05 PM
52,5/31/2016,PHI,WSN,L,1,5,4,2:54,N,18572,1.2,-----,0,Tuesday May 31 2016,2016,7:05 PM
53,6/1/2016,PHI,WSN,L,2,7,4,2:45,N,19052,1.14,------,0,Wednesday Jun 1 2016,2016,7:05 PM
54,6/2/2016,PHI,MIL,L,1,4,4,3:14,N,22890,0.83,-------,0,Thursday Jun 2 2016,2016,7:05 PM
55,6/3/2016,PHI,MIL,W,6,3,4,3:03,N,20138,0.77,+,0,Friday Jun 3 2016,2016,7:05 PM
56,6/4/2016,PHI,MIL,L,3,6,4,3:25,D,25177,0.86,-,0,Saturday Jun 4 2016,2016,3:05 PM
57,6/5/2016,PHI,MIL,W,8,1,4,3:05,D,24259,0.76,+,0,Sunday Jun 5 2016,2016,1:35 PM
58,6/6/2016,PHI,CHC,L,4,6,4,3:05,N,22162,0.81,-,0,Monday Jun 6 2016,2016,7:05 PM
59,6/7/2016,PHI,CHC,W,3,2,4,2:45,N,27381,0.7,+,0,Tuesday Jun 7 2016,2016,7:05 PM
60,6/8/2016,PHI,CHC,L,1,8,4,2:44,D,28650,0.81,-,0,Wednesday Jun 8 2016,2016,1:05 PM
61,6/10/2016,PHI,WSN,L,6,9,4,2:53,N,37941,0.87,--,1,Friday Jun 10 2016,2016,7:05 PM
62,6/11/2016,PHI,WSN,L,0,8,4,2:56,D,38044,0.76,---,1,Saturday Jun 11 2016,2016,12:05 PM
63,6/12/2016,PHI,WSN,L-wo,4,5,4,2:56,D,34294,0.68,----,1,Sunday Jun 12 2016,2016,4:05 PM
64,6/13/2016,PHI,TOR,W,7,0,4,2:55,N,35678,0.47,+,1,Monday Jun 13 2016,2016,7:07 PM
65,6/14/2016,PHI,TOR,L,3,11,4,2:43,D,47066,0.54,-,1,Tuesday Jun 14 2016,2016,12:37 PM
66,6/15/2016,PHI,TOR,L,2,7,4,2:51,N,24753,0.49,--,0,Wednesday Jun 15 2016,2016,7:05 PM
67,6/16/2016,PHI,TOR,L,2,13,4,3:04,N,22279,0.44,---,0,Thursday Jun 16 2016,2016,7:05 PM
68,6/17/2016,PHI,ARI,L,2,10,4,3:04,N,19282,0.37,----,0,Friday Jun 17 2016,2016,7:05 PM
69,6/18/2016,PHI,ARI,L,1,4,4,2:37,D,33797,0.3,-----,0,Saturday Jun 18 2016,2016,3:05 PM
70,6/19/2016,PHI,ARI,L,1,5,4,2:59,D,40214,0.28,------,0,Sunday Jun 19 2016,2016,1:35 PM
71,6/20/2016,PHI,ARI,L,1,3,4,2:40,D,22118,0.26,-------,0,Monday Jun 20 2016,2016,1:05 PM
72,6/21/2016,PHI,MIN,L,10,14,4,3:24,N,25714,0.2,--------,1,Tuesday Jun 21 2016,2016,8:10 PM
73,6/22/2016,PHI,MIN,L,5,6,4,2:48,N,25032,0.18,---------,1,Wednesday Jun 22 2016,2016,8:10 PM
74,6/23/2016,PHI,MIN,W,7,3,4,3:07,D,30012,0.13,+,1,Thursday Jun 23 2016,2016,1:10 PM
75,6/24/2016,PHI,SFG,L,4,5,4,3:21,N,42238,0.17,-,1,Friday Jun 24 2016,2016,10:15 PM
76,6/25/2016,PHI,SFG,W,3,2,4,2:47,N,41928,0.14,+,1,Saturday Jun 25 2016,2016,10:05 PM
77,6/26/2016,PHI,SFG,L-wo,7,8,4,3:16,D,41479,0.18,-,1,Sunday Jun 26 2016,2016,4:05 PM
78,6/27/2016,PHI,ARI,W,8,0,4,3:18,N,22567,0.13,+,1,Monday Jun 27 2016,2016,9:40 PM
79,6/28/2016,PHI,ARI,W,4,3,4,3:34,N,19645,0.17,++,1,Tuesday Jun 28 2016,2016,9:40 PM
80,6/29/2016,PHI,ARI,W,9,8,4,3:53,D,18603,0.2,+++,1,Wednesday Jun 29 2016,2016,3:40 PM
81,7/1/2016,PHI,KCR,W,4,3,4,3:06,N,30263,0.25,++++,0,Friday Jul 1 2016,2016,7:05 PM
82,7/2/2016,PHI,KCR,L,2,6,4,2:47,N,40331,0.24,-,0,Saturday Jul 2 2016,2016,5:50 PM
83,7/3/2016,PHI,KCR,W,7,2,4,2:42,D,20473,0.21,+,0,Sunday Jul 3 2016,2016,1:35 PM
84,7/4/2016,PHI,ATL,W,8,2,4,2:27,D,19064,0.21,++,0,Monday Jul 4 2016,2016,4:05 PM
85,7/5/2016,PHI,ATL,W,5,1,4,2:08,N,18426,0.27,+++,0,Tuesday Jul 5 2016,2016,7:05 PM
86,7/6/2016,PHI,ATL,W,4,3,4,2:54,D,19211,0.29,++++,0,Wednesday Jul 6 2016,2016,1:05 PM
87,7/7/2016,PHI,COL,L,2,11,4,2:53,N,35250,0.38,-,1,Thursday Jul 7 2016,2016,8:40 PM
88,7/8/2016,PHI,COL,W,5,3,4,3:36,N,42335,0.32,+,1,Friday Jul 8 2016,2016,8:10 PM
89,7/9/2016,PHI,COL,L,3,8,4,2:45,N,48105,0.35,-,1,Saturday Jul 9 2016,2016,8:40 PM
90,7/10/2016,PHI,COL,W,10,3,4,3:11,D,32113,0.28,+,1,Sunday Jul 10 2016,2016,4:10 PM
91,7/15/2016,PHI,NYM,L,3,5,4,3:10,N,28076,0.35,-,0,Friday Jul 15 2016,2016,7:05 PM
92,7/16/2016,PHI,NYM,W,4,2,4,3:11,N,37324,0.26,+,0,Saturday Jul 16 2016,2016,7:05 PM
93,7/17/2016,PHI,NYM,L,0,5,4,2:21,D,30894,0.33,-,0,Sunday Jul 17 2016,2016,1:35 PM
94,7/18/2016,PHI,MIA,L,2,3,4,3:05,N,19115,0.26,--,0,Monday Jul 18 2016,2016,7:05 PM
95,7/19/2016,PHI,MIA,L,1,2,4,3:26,N,18347,0.2,---,0,Tuesday Jul 19 2016,2016,7:05 PM
96,7/20/2016,PHI,MIA,W,4,1,4,2:37,N,20654,0.14,+,0,Wednesday Jul 20 2016,2016,7:05 PM
97,7/21/2016,PHI,MIA,L,3,9,4,2:57,N,27839,0.18,-,0,Thursday Jul 21 2016,2016,7:05 PM
98,7/22/2016,PHI,PIT,W,4,0,4,2:38,N,33703,0.12,+,1,Friday Jul 22 2016,2016,7:05 PM
99,7/23/2016,PHI,PIT,L,4,7,4,3:35,D,35802,0.16,-,1,Saturday Jul 23 2016,2016,4:05 PM
