Game,Date,Tm,Opp,W.L,R,RA,Rank_Standings,Game_Length,Day_Night,Attendance,CLI,Streak,Home,FullDate,Year,start_time_ET
49,5/27/2014,PHI,COL,L,2,6,4,3:21,N,23159,0.83,-,0,Tuesday May 27 2014,2014,7:05 PM
50,5/28/2014,PHI,COL,W-wo,6,3,4,3:46,N,23691,0.77,+,0,Wednesday May 28 2014,2014,7:05 PM
51,5/29/2014,PHI,NYM,L,1,4,5,2:55,N,26668,0.89,-,0,Thursday May 29 2014,2014,7:05 PM
52,5/30/2014,PHI,NYM,W-wo,6,5,4,5:23,N,30236,0.85,+,0,Friday May 30 2014,2014,7:05 PM
53,5/31/2014,PHI,NYM,L,4,5,5,5:32,D,37516,0.92,-,0,Saturday May 31 2014,2014,3:05 PM
54,6/1/2014,PHI,NYM,L,3,4,5,3:29,D,36039,0.82,--,0,Sunday Jun 1 2014,2014,1:35 PM
55,6/2/2014,PHI,NYM,L,2,11,5,3:17,N,26302,0.72,---,0,Monday Jun 2 2014,2014,7:05 PM
56,6/3/2014,PHI,WSN,L,0,7,5,2:42,N,25291,0.68,----,1,Tuesday Jun 3 2014,2014,7:05 PM
57,6/4/2014,PHI,WSN,L,4,8,5,3:00,N,33614,0.57,-----,1,Wednesday Jun 4 2014,2014,7:05 PM
58,6/5/2014,PHI,WSN,L,2,4,5,2:38,D,33016,0.58,------,1,Thursday Jun 5 2014,2014,4:05 PM
59,6/6/2014,PHI,CIN,W,8,0,5,3:18,N,38331,0.42,+,1,Friday Jun 6 2014,2014,7:10 PM
60,6/7/2014,PHI,CIN,L,5,6,5,2:56,D,36347,0.48,-,1,Saturday Jun 7 2014,2014,4:10 PM
61,6/8/2014,PHI,CIN,L,1,4,5,2:40,D,30222,0.41,--,1,Sunday Jun 8 2014,2014,1:10 PM
62,6/10/2014,PHI,SDP,W,5,2,5,2:40,N,31037,0.37,+,0,Tuesday Jun 10 2014,2014,7:05 PM
63,6/11/2014,PHI,SDP,W-wo,3,0,5,2:55,N,25398,0.37,++,0,Wednesday Jun 11 2014,2014,7:05 PM
64,6/12/2014,PHI,SDP,W,7,3,4,3:05,D,29372,0.43,+++,0,Thursday Jun 12 2014,2014,1:05 PM
