,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms,Season
6,Sun,October 16,1:03PM ET,boxscore,L,,3-2,@,Washington Redskins,20,27,12,239,145,94,,26,493,263,230,1,-4.9,-12.56,7.31,2016
7,Sun,October 23,1:02PM ET,boxscore,W,,4-2,,Minnesota Vikings,21,10,15,239,138,101,4,18,282,189,93,4,-16.68,22.62,4.42,2016
8,Sun,October 30,8:31PM ET,boxscore,L,OT,4-3,@,Dallas Cowboys,23,29,21,291,194,97,1,26,460,273,187,1,-3.91,-6.81,6.68,2016
9,Sun,November 6,1:00PM ET,boxscore,L,,4-4,@,New York Giants,23,28,21,443,347,96,2,16,302,248,54,2,-7.88,3.81,-0.29,2016
10,Sun,November 13,1:00PM ET,boxscore,W,,5-4,,Atlanta Falcons,24,15,25,429,221,208,1,11,303,255,48,1,2.75,5.49,-2.21,2016
11,Sun,November 20,4:25PM ET,boxscore,L,,5-5,@,Seattle Seahawks,15,26,20,308,195,113,2,18,439,287,152,,-6.79,-9.58,2.71,2016
12,Mon,November 28,8:30PM ET,boxscore,L,,5-6,,Green Bay Packers,13,27,20,292,211,81,1,25,387,313,74,,4.55,-22.27,2.5,2016
13,Sun,December 4,1:00PM ET,boxscore,L,,5-7,@,Cincinnati Bengals,14,32,22,359,306,53,3,21,412,332,80,2,-2.66,-14.22,-0.39,2016
14,Sun,December 11,1:00PM ET,boxscore,L,,5-8,,Washington Redskins,22,27,24,383,288,95,2,16,334,227,107,1,0.81,-10.94,5.46,2016
15,Sun,December 18,1:00PM ET,boxscore,L,,5-9,@,Baltimore Ravens,26,27,27,328,159,169,1,18,340,189,151,2,-0.33,-2.83,0.31,2016
16,Thu,December 22,8:25PM ET,boxscore,W,,6-9,,New York Giants,24,19,15,286,168,118,1,24,470,356,114,3,1.56,3.42,1.28,2016
17,Sun,January 1,1:00PM ET,boxscore,W,,7-9,,Dallas Cowboys,27,13,24,346,232,114,,15,195,126,69,2,6.89,9.6,-4.57,2016
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,@,Washington Redskins,30,17,19,356,298,58,2,16,264,200,64,4,-3.95,12.95,4.05,2017
2,Sun,September 17,1:00PM ET,boxscore,L,,1-1,@,Kansas City Chiefs,20,27,27,406,299,107,2,16,344,232,112,,10.61,-11.61,-3.52,2017
3,Sun,September 24,1:00PM ET,boxscore,W,,2-1,,New York Giants,27,24,24,354,161,193,1,21,415,366,49,2,8.14,-5.7,-0.22,2017
4,Sun,October 1,4:05PM ET,boxscore,W,,3-1,@,Los Angeles Chargers,26,24,26,454,240,214,,18,400,342,58,1,18.04,-16.92,3.88,2017
5,Sun,October 8,1:00PM ET,boxscore,W,,4-1,,Arizona Cardinals,34,7,19,419,297,122,1,16,307,276,31,1,16.42,3.67,5.58,2017
6,Thu,October 12,8:25PM ET,boxscore,W,,5-1,@,Carolina Panthers,28,23,15,310,209,101,1,23,305,225,80,3,-1.91,3.03,2.91,2017
7,Mon,October 23,8:30PM ET,boxscore,W,,6-1,,Washington Redskins,34,24,23,371,244,127,1,19,344,269,75,1,15.57,-3.7,0.77,2017
8,Sun,October 29,1:00PM ET,boxscore,W,,7-1,,San Francisco 49ers,33,10,19,304,192,112,1,14,238,144,94,2,2.12,18.94,1.57,2017
9,Sun,November 5,1:00PM ET,boxscore,W,,8-1,,Denver Broncos,51,23,25,419,222,197,1,14,226,191,35,2,20.78,17.51,-8.3,2017
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,,2017
11,Sun,November 19,8:30PM ET,boxscore,W,,9-1,@,Dallas Cowboys,37,9,17,383,168,215,,14,225,113,112,4,11.09,23.68,-12.66,2017
12,Sun,November 26,1:00PM ET,boxscore,W,,10-1,,Chicago Bears,31,3,24,420,244,176,3,8,140,134,6,2,8.35,21.79,-0.54,2017
13,Sun,December 3,8:30PM ET,boxscore,L,,10-2,@,Seattle Seahawks,10,24,25,425,327,98,2,20,310,209,101,,3.98,-12.23,-1.93,2017
14,Sun,December 10,4:25PM ET,boxscore,W,,11-2,@,Los Angeles Rams,43,35,29,455,316,139,1,17,307,198,109,2,16.32,-2.69,-5.62,2017
15,Sun,December 17,1:00PM ET,boxscore,W,,12-2,@,New York Giants,34,29,22,341,233,108,,27,504,429,75,1,11.85,-15.01,7.88,2017
16,Mon,December 25,8:30PM ET,boxscore,W,,13-2,,Oakland Raiders,19,10,12,216,138,78,2,13,274,137,137,5,-21.77,28.59,1.32,2017
17,Sun,December 31,1:00PM ET,boxscore,L,,13-3,,Dallas Cowboys,0,6,12,219,149,70,2,16,301,172,129,1,-16.51,6.53,5.76,2017
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,,2017
Division,Sat,January 13,4:35PM ET,boxscore,W,,14-3,,Atlanta Falcons,15,10,22,334,238,96,2,19,281,195,86,,8.88,-0.03,-6.34,2017
Conf. Champ.,Sun,January 21,6:40PM ET,boxscore,W,,15-3,,Minnesota Vikings,38,7,27,456,346,110,,22,333,263,70,3,25.85,9.11,-4.48,2017
SuperBowl,Sun,February 4,6:30PM ET,boxscore,W,,16-3,N,New England Patriots,41,33,25,538,374,164,1,29,613,500,113,1,27.26,-27.61,4.65,2017
1,Thu,September 6,8:20PM ET,boxscore,W,,1-0,,Atlanta Falcons,18,12,18,232,119,113,2,16,299,225,74,1,-3.11,7.26,-2.58,2018
2,Sun,September 16,1:00PM ET,boxscore,L,,1-1,@,Tampa Bay Buccaneers,21,27,24,412,321,91,2,18,436,393,43,2,5.14,-10.11,-1.42,2018
3,Sun,September 23,1:00PM ET,boxscore,W,,2-1,,Indianapolis Colts,20,16,26,379,227,152,2,14,209,141,68,,3.85,5.54,-6.21,2018
4,Sun,September 30,1:00PM ET,boxscore,L,OT,2-2,@,Tennessee Titans,23,26,25,432,315,117,1,22,397,327,70,1,4.64,-8.76,-4.88,2018
