Season,Year,Week,Day,FullDate,FullTime,Home,Opp,W,TeamScore,OppScore,Differential
2017,2017,16,Mon,2017-12-25,20:30:00,0,Oakland Raiders,1,19.0,10.0,9.0
2017,2017,17,Sun,2017-12-31,13:00:00,0,Dallas Cowboys,0,0.0,6.0,-6.0
2017,2018,Division,Sat,2018-01-13,16:35:00,0,Atlanta Falcons,1,15.0,10.0,5.0
2017,2018,Conf. Champ.,Sun,2018-01-21,18:40:00,0,Minnesota Vikings,1,38.0,7.0,31.0
2017,2018,SuperBowl,Sun,2018-02-04,18:30:00,0,New England Patriots,1,41.0,33.0,8.0
2018,2018,1,Thu,2018-09-06,20:20:00,0,Atlanta Falcons,1,18.0,12.0,6.0
2018,2018,2,Sun,2018-09-16,13:00:00,1,Tampa Bay Buccaneers,0,21.0,27.0,-6.0
2018,2018,3,Sun,2018-09-23,13:00:00,0,Indianapolis Colts,1,20.0,16.0,4.0
2018,2018,4,Sun,2018-09-30,13:00:00,1,Tennessee Titans,0,23.0,26.0,-3.0
2018,2018,5,Sun,2018-10-07,16:25:00,0,Minnesota Vikings,0,21.0,23.0,-2.0
2018,2018,6,Thu,2018-10-11,20:20:00,1,New York Giants,1,34.0,13.0,21.0
2018,2018,7,Sun,2018-10-21,13:00:00,0,Carolina Panthers,0,17.0,21.0,-4.0
2018,2018,8,Sun,2018-10-28,09:30:00,1,Jacksonville Jaguars,1,24.0,18.0,6.0
2018,2018,10,Sun,2018-11-11,20:20:00,0,Dallas Cowboys,0,20.0,27.0,-7.0
2018,2018,11,Sun,2018-11-18,16:25:00,1,New Orleans Saints,0,7.0,48.0,-41.0
2018,2018,12,Sun,2018-11-25,13:00:00,0,New York Giants,1,25.0,22.0,3.0
2018,2018,13,Mon,2018-12-03,20:15:00,0,Washington Redskins,1,28.0,13.0,15.0
2018,2018,14,Sun,2018-12-09,16:25:00,1,Dallas Cowboys,0,23.0,29.0,-6.0
2018,2018,15,Sun,2018-12-16,20:20:00,1,Los Angeles Rams,1,30.0,23.0,7.0
2018,2018,16,Sun,2018-12-23,13:00:00,0,Houston Texans,1,32.0,30.0,2.0
2018,2018,17,Sun,2018-12-30,16:25:00,1,Washington Redskins,1,24.0,0.0,24.0
2018,2019,Wild Card,Sun,2019-01-06,16:40:00,1,Chicago Bears,1,16.0,15.0,1.0
2018,2019,Division,Sun,2019-01-13,16:40:00,1,New Orleans Saints,0,14.0,20.0,-6.0
