GP,Date,HomeAway,Opponent,GF,GA,WinLoss,OTSO,W,L,OL,Streak,Attend.,LOG
44,1/16/2018,@,New York Rangers,1,5,L,,20,16,8,L 1,18006,2:24:00 AM
45,1/18/2018,,Toronto Maple Leafs,3,2,W,OT,21,16,8,W 1,19860,2:33:00 AM
46,1/20/2018,,New Jersey Devils,3,1,W,,22,16,8,W 2,19934,2:24:00 AM
47,1/21/2018,@,Washington Capitals,2,1,W,OT,23,16,8,W 3,18506,2:27:00 AM
48,1/23/2018,@,Detroit Red Wings,3,2,W,OT,24,16,8,W 4,19515,2:30:00 AM
49,1/25/2018,,Tampa Bay Lightning,1,5,L,,24,17,8,L 1,19489,2:29:00 AM
50,1/31/2018,@,Washington Capitals,3,5,L,,24,18,8,L 2,18506,2:32:00 AM
51,2/1/2018,@,New Jersey Devils,3,4,L,,24,19,8,L 3,13906,2:33:00 AM
52,2/3/2018,,Ottawa Senators,3,4,L,SO,24,19,9,L 4,19729,2:49:00 AM
53,2/6/2018,@,Carolina Hurricanes,2,1,W,OT,25,19,9,W 1,11585,2:26:00 AM
54,2/8/2018,,Montreal Canadiens,5,3,W,,26,19,9,W 2,19655,2:26:00 AM
55,2/10/2018,@,Arizona Coyotes,4,3,W,SO,27,19,9,W 3,13004,2:48:00 AM
56,2/11/2018,@,Vegas Golden Knights,4,1,W,,28,19,9,W 4,18220,2:32:00 AM
57,2/13/2018,,New Jersey Devils,4,5,L,SO,28,19,10,L 1,19312,2:50:00 AM
58,2/16/2018,@,Columbus Blue Jackets,2,1,W,OT,29,19,10,W 1,17364,2:25:00 AM
59,2/18/2018,@,New York Rangers,7,4,W,,30,19,10,W 2,18006,2:33:00 AM
60,2/20/2018,,Montreal Canadiens,3,2,W,OT,31,19,10,W 3,19336,2:26:00 AM
61,2/22/2018,,Columbus Blue Jackets,2,1,W,,32,19,10,W 4,19727,2:24:00 AM
62,2/24/2018,@,Ottawa Senators,5,3,W,,33,19,10,W 5,16128,2:24:00 AM
63,2/26/2018,@,Montreal Canadiens,1,0,W,SO,34,19,10,W 6,21302,2:52:00 AM
64,3/1/2018,,Carolina Hurricanes,1,4,L,,34,20,10,L 1,19245,2:21:00 AM
65,3/3/2018,@,Tampa Bay Lightning,6,7,L,SO,34,20,11,L 2,19092,2:49:00 AM
66,3/4/2018,@,Florida Panthers,1,4,L,,34,21,11,L 3,14428,2:27:00 AM
67,3/7/2018,,Pittsburgh Penguins,2,5,L,,34,22,11,L 4,19624,2:28:00 AM
68,3/8/2018,@,Boston Bruins,2,3,L,,34,23,11,L 5,17565,2:33:00 AM
69,3/10/2018,,Winnipeg Jets,2,1,W,,35,23,11,W 1,19929,2:23:00 AM
70,3/12/2018,,Vegas Golden Knights,2,3,L,,35,24,11,L 1,19723,2:28:00 AM
71,3/15/2018,,Columbus Blue Jackets,3,5,L,,35,25,11,L 2,19354,2:24:00 AM
72,3/17/2018,@,Carolina Hurricanes,4,2,W,,36,25,11,W 1,14805,2:22:00 AM
73,3/18/2018,,Washington Capitals,6,3,W,,37,25,11,W 2,19687,2:31:00 AM
74,3/20/2018,@,Detroit Red Wings,4,5,L,SO,37,25,12,L 1,19515,2:44:00 AM
75,3/22/2018,,New York Rangers,4,3,W,,38,25,12,W 1,19584,2:26:00 AM
76,3/25/2018,@,Pittsburgh Penguins,4,5,L,OT,38,25,13,L 1,18655,2:27:00 AM
77,3/27/2018,@,Dallas Stars,2,3,L,OT,38,25,14,L 2,17247,2:36:00 AM
78,3/28/2018,@,Colorado Avalanche,2,1,W,,39,25,14,W 1,16320,2:17:00 AM
79,4/1/2018,,Boston Bruins,4,3,W,OT,40,25,14,W 2,19904,2:29:00 AM
80,4/3/2018,@,New York Islanders,4,5,L,,40,26,14,L 1,11951,2:32:00 AM
81,4/5/2018,,Carolina Hurricanes,4,3,W,,41,26,14,W 1,20001,2:28:00 AM
82,4/7/2018,,New York Rangers,5,0,W,,42,26,14,W 2,20028,2:22:00 AM
1,4/11/2018,@,Pittsburgh Penguins,0,7,L,,0,1,L 1,18556,2:26,
2,4/13/2018,@,Pittsburgh Penguins,5,1,W,,1,1,W 1,18648,2:35,
3,4/15/2018,,Pittsburgh Penguins,1,5,L,,1,2,L 1,19955,2:32,
4,4/18/2018,,Pittsburgh Penguins,0,5,L,,1,3,L 2,19644,2:26,
5,4/20/2018,@,Pittsburgh Penguins,4,2,W,,2,3,W 1,18632,2:31,
6,4/22/2018,,Pittsburgh Penguins,5,8,L,,2,4,L 1,19861,2:33,
