Game,Date,Start (ET),HomeAway,Opponent,WinLoss,OT,Tm,Opp,W,L,Streak,Attend.,LOG
9,11/14/2014,8:00p,@,Houston Rockets,L,,87,88,0,9,L 9,18138,2:25:00 AM
10,11/17/2014,8:30p,@,San Antonio Spurs,L,,75,100,0,10,L 10,18581,2:06:00 AM
11,11/19/2014,7:00p,,Boston Celtics,L,,90,101,0,11,L 11,12701,2:04:00 AM
12,11/21/2014,7:00p,,Phoenix Suns,L,,96,122,0,12,L 12,16789,2:08:00 AM
13,11/22/2014,7:30p,@,New York Knicks,L,,83,91,0,13,L 13,19812,2:19:00 AM
14,11/24/2014,7:00p,,Portland Trail Blazers,L,,104,114,0,14,L 14,11094,2:06:00 AM
15,11/26/2014,7:00p,,Brooklyn Nets,L,,91,99,0,15,L 15,11223,2:13:00 AM
16,11/29/2014,7:00p,,Dallas Mavericks,L,,103,110,0,16,L 16,16145,2:22:00 AM
17,12/1/2014,7:00p,,San Antonio Spurs,L,,103,109,0,17,L 17,12843,2:15:00 AM
18,12/3/2014,8:00p,@,Minnesota Timberwolves,W,,85,77,1,17,W 1,10463,2:08:00 AM
19,12/5/2014,7:00p,,Oklahoma City Thunder,L,,91,103,1,18,L 1,15092,2:21:00 AM
20,12/6/2014,7:30p,@,Detroit Pistons,W,OT,108,101,2,18,W 1,16514,2:35:00 AM
21,12/10/2014,7:30p,@,Atlanta Hawks,L,,79,95,2,19,L 1,11733,2:07:00 AM
22,12/12/2014,7:30p,@,Brooklyn Nets,L,,70,88,2,20,L 2,16326,2:04:00 AM
23,12/13/2014,7:30p,,Memphis Grizzlies,L,OT,115,120,2,21,L 3,13698,2:49:00 AM
24,12/15/2014,7:00p,,Boston Celtics,L,,87,105,2,22,L 4,12903,2:16:00 AM
25,12/19/2014,7:00p,,Charlotte Hornets,L,,91,109,2,23,L 5,13398,2:12:00 AM
26,12/21/2014,6:00p,@,Orlando Magic,W,,96,88,3,23,W 1,15682,2:21:00 AM
27,12/23/2014,7:30p,@,Miami Heat,W,,91,87,4,23,W 2,19600,2:23:00 AM
28,12/26/2014,10:00p,@,Portland Trail Blazers,L,,93,114,4,24,L 1,19972,2:09:00 AM
29,12/27/2014,9:00p,@,Utah Jazz,L,,71,88,4,25,L 2,18890,2:19:00 AM
30,12/30/2014,10:30p,@,Golden State Warriors,L,,86,126,4,26,L 3,19596,2:04:00 AM
