Game,Day,Date,StartTime,LOG,EndTime,DayGame,Rank,CLI,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,Walkoff,Season,Streak,Rivalry,Mets,Braves
153,Friday,2018-09-21,19:35:00,204,22:59:00,0,2,0.33,1,34370,ATL,5,6,-1,0,0,2018,-2,1,0,1
154,Saturday,2018-09-22,13:05:00,158,15:43:00,1,2,0.05,1,35616,ATL,3,5,-2,0,0,2018,-3,1,0,1
155,Sunday,2018-09-23,13:35:00,163,16:18:00,1,2,0.0,1,34214,ATL,1,2,-1,0,0,2018,-4,1,0,1
156,Monday,2018-09-24,20:40:00,177,23:37:00,0,3,0.0,1,30336,COL,1,10,-9,0,0,2018,-5,0,0,0
157,Tuesday,2018-09-25,20:40:00,201,00:01:00,0,3,0.0,1,30217,COL,3,10,-7,0,0,2018,-6,0,0,0
158,Wednesday,2018-09-26,20:40:00,171,23:31:00,0,3,0.0,1,35181,COL,0,14,-14,0,0,2018,-7,0,0,0
159,Thursday,2018-09-27,15:10:00,186,18:16:00,1,3,0.0,1,36448,COL,3,5,-2,0,0,2018,-8,0,0,0
160,Friday,2018-09-28,19:05:00,222,22:47:00,0,3,0.0,0,24306,ATL,2,10,-8,0,0,2018,-9,1,0,1
161,Saturday,2018-09-29,19:05:00,163,21:48:00,0,3,0.0,0,30886,ATL,3,0,3,1,0,2018,1,1,0,1
162,Sunday,2018-09-30,15:05:00,177,18:02:00,1,3,0.0,0,34202,ATL,3,1,2,1,0,2018,2,1,0,1
