,date,hour,region,stop_count,Game,Day,StartTime,xEndTime,Home,Opp,TeamScore,OppScore,PointDiff,DefTO,OffTO,TODiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Giants,Cowboys,RegularSeason,Division,ConfChamp,SuperBowl,gameday,start_hour,end_hour,game_period,baseline,percent_change_in_stops,area_km2,stop_density
15,2014-09-07,3,1,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.010767160161507403,-1.0,3.141592653589793,0.0
16,2014-09-07,3,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.18977119784656796,-1.0,9.42477796076938,0.0
17,2014-09-07,3,3,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.6507402422611036,-1.0,15.707963267948966,0.0
18,2014-09-07,3,4,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.7947510094212651,-1.0,21.991148575128552,0.0
19,2014-09-07,3,5,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.7765814266487214,0.28769497400346616,28.274333882308138,0.0353677651315323
20,2014-09-07,4,1,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.01278600269179004,-1.0,3.141592653589793,0.0
21,2014-09-07,4,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.10296096904441454,-1.0,9.42477796076938,0.0
22,2014-09-07,4,3,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.34993270524899056,-1.0,15.707963267948966,0.0
23,2014-09-07,4,4,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.3855989232839839,-1.0,21.991148575128552,0.0
24,2014-09-07,4,5,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.3627187079407806,-1.0,28.274333882308138,0.0
25,2014-09-07,5,1,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.02086137281292059,-1.0,3.141592653589793,0.0
26,2014-09-07,5,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.08209959623149395,-1.0,9.42477796076938,0.0
27,2014-09-07,5,3,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.22072678331090176,-1.0,15.707963267948966,0.0
28,2014-09-07,5,4,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.25235531628532976,2.9626666666666663,21.991148575128552,0.04547284088339867
29,2014-09-07,5,5,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.2274562584118439,-1.0,28.274333882308138,0.0
30,2014-09-07,6,1,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.02288021534320323,-1.0,3.141592653589793,0.0
31,2014-09-07,6,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.08950201884253028,-1.0,9.42477796076938,0.0
32,2014-09-07,6,3,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.20592193808882908,-1.0,15.707963267948966,0.0
33,2014-09-07,6,4,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.2180349932705249,-1.0,21.991148575128552,0.0
34,2014-09-07,6,5,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.23553162853297444,-1.0,28.274333882308138,0.0
35,2014-09-07,7,1,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.04508748317631225,21.17910447761194,3.141592653589793,0.3183098861837907
36,2014-09-07,7,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.2126514131897712,-1.0,9.42477796076938,0.0
37,2014-09-07,7,3,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.6413189771197847,-1.0,15.707963267948966,0.0
38,2014-09-07,7,4,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.5289367429340511,-1.0,21.991148575128552,0.0
